"nominal","empirical","source","sampler","source_label"
0.5,0.919690660321237,"spike","ARWM","Narrow spike"
0.6,0.933967876264128,"spike","ARWM","Narrow spike"
0.7,0.941106484235574,"spike","ARWM","Narrow spike"
0.8,0.951219512195122,"spike","ARWM","Narrow spike"
0.9,0.966091612135634,"spike","ARWM","Narrow spike"
0.95,0.973230220107079,"spike","ARWM","Narrow spike"
0.975,0.980963712076145,"spike","ARWM","Narrow spike"
0.99,0.985722784057109,"spike","ARWM","Narrow spike"
0.5,0.843545508625818,"mixture","ARWM","Broad + sharp"
0.6,0.908982748364069,"mixture","ARWM","Broad + sharp"
0.7,0.946460440214158,"mixture","ARWM","Broad + sharp"
0.8,0.966091612135634,"mixture","ARWM","Broad + sharp"
0.9,0.982748364069007,"mixture","ARWM","Broad + sharp"
0.95,0.989292088042832,"mixture","ARWM","Broad + sharp"
0.975,0.992861392028554,"mixture","ARWM","Broad + sharp"
0.99,0.993456276026175,"mixture","ARWM","Broad + sharp"
0.5,0.958358120166568,"dipole","ARWM","Dipole"
0.6,0.963712076145152,"dipole","ARWM","Dipole"
0.7,0.967281380130875,"dipole","ARWM","Dipole"
0.8,0.97441998810232,"dipole","ARWM","Dipole"
0.9,0.980963712076145,"dipole","ARWM","Dipole"
0.95,0.98750743604997,"dipole","ARWM","Dipole"
0.975,0.991076740035693,"dipole","ARWM","Dipole"
0.99,0.996430696014277,"dipole","ARWM","Dipole"
0.5,0.67995240928019,"ring","ARWM","Ring"
0.6,0.737656157049375,"ring","ARWM","Ring"
0.7,0.784057108863772,"ring","ARWM","Ring"
0.8,0.841165972635336,"ring","ARWM","Ring"
0.9,0.894705532421178,"ring","ARWM","Ring"
0.95,0.924449732302201,"ring","ARWM","Ring"
0.975,0.944080904223676,"ring","ARWM","Ring"
0.99,0.960737656157049,"ring","ARWM","Ring"
0.5,0.675788221296847,"edge","ARWM","Moving edge"
0.6,0.734681737061273,"edge","ARWM","Moving edge"
0.7,0.78227245687091,"edge","ARWM","Moving edge"
0.8,0.830458060678168,"edge","ARWM","Moving edge"
0.9,0.889946460440214,"edge","ARWM","Moving edge"
0.95,0.914336704342653,"edge","ARWM","Moving edge"
0.975,0.933372992266508,"edge","ARWM","Moving edge"
0.99,0.953599048185604,"edge","ARWM","Moving edge"
0.5,0.848304580606782,"sine","ARWM","Sine-cosine"
0.6,0.895895300416419,"sine","ARWM","Sine-cosine"
0.7,0.927424152290303,"sine","ARWM","Sine-cosine"
0.8,0.966091612135634,"sine","ARWM","Sine-cosine"
0.9,0.993456276026175,"sine","ARWM","Sine-cosine"
0.95,0.998810232004759,"sine","ARWM","Sine-cosine"
0.975,1,"sine","ARWM","Sine-cosine"
0.99,1,"sine","ARWM","Sine-cosine"
