"source","chain","retained_draws","warmup_acceptance_rate","sampling_acceptance_rate","final_scale","final_cov_11","final_cov_22","final_cov_33","final_cov_12","final_cov_13","final_cov_23","runtime_seconds","initial_log_ell","initial_log_sigma_f","initial_log_sigma_n","source_label"
"spike",1,1500,0.246623311655828,0.206833333333333,3.19890445582766,0.557829665813831,0.0486216741653007,0.355079273535082,0.0184588465548551,0.0248364753948505,-5.67476960675529e-05,41.6,-2.53854309139711,-2.92047415985644,-10.7543139007988,"Narrow spike"
"spike",2,1500,0.240120060030015,0.216,2.79587789116578,0.581497623298702,0.0512486241062256,0.285906573638194,0.0630524930807223,0.0595885293342257,0.00533899228312272,31.56,-2.88854309139711,-2.67047415985644,-10.9043139007988,"Narrow spike"
"spike",3,1500,0.238619309654827,0.221666666666667,2.65729938060047,0.554732135621473,0.0441954669636839,0.302232466867546,0.00883163174207082,0.0402409540272296,-0.000742546824373476,20.56,-2.18854309139711,-3.17047415985644,-10.6043139007988,"Narrow spike"
"spike",4,1500,0.214107053526763,0.204666666666667,2.26329498034795,0.649994515140121,0.052807602790022,0.285874854248269,0.0685360706658787,0.00206726907126481,-0.0103202442308776,19.93,-2.73854309139711,-3.22047415985644,-10.5043139007988,"Narrow spike"
"mixture",1,700,0.293577981651376,0.200357142857143,3.67130809932473,0.644252766154831,0.139679522208654,0.248622768726761,0.225975972857215,0.0215457223628226,-0.0211968368729516,10.16,-1.11777048811732,-1.52424475990961,-8.67715327350215,"Broad + sharp"
"mixture",2,700,0.259382819015847,0.256071428571429,2.76119557294322,0.504847615077587,0.105420053757548,0.155448583392183,0.163175722154095,0.0647728783663532,0.00700293705527994,10.03,-1.46777048811732,-1.27424475990961,-8.82715327350215,"Broad + sharp"
"mixture",3,700,0.284403669724771,0.23,3.24494613196269,0.566841118279701,0.135875327605701,0.224705085972466,0.204079039979941,0.0410820356843852,-0.0154884724501936,10.04,-0.767770488117322,-1.77424475990961,-8.52715327350215,"Broad + sharp"
"mixture",4,700,0.281067556296914,0.219285714285714,3.20734577791089,0.618568668981968,0.107800941620871,0.210075856386185,0.185754155947004,0.0899850441685287,-0.00629709974062296,9.99,-1.31777048811732,-1.82424475990961,-8.42715327350215,"Broad + sharp"
"dipole",1,700,0.260216847372811,0.237857142857143,3.353360474207,0.522896685091863,0.066921374623138,0.276626545652378,0.127470152699448,-0.0129687600611143,0.0115171116659406,10.41,-2.05125332695111,-1.6350635023488,-9.80894692502191,"Dipole"
"dipole",2,700,0.236030025020851,0.221071428571429,2.47860112114647,0.592496833658436,0.0804884452828721,0.23450738022805,0.156212532128687,-0.0476365109929571,-0.000344881692552122,10.29,-2.40125332695111,-1.3850635023488,-9.95894692502191,"Dipole"
