"quantity","type","rank_split_Rhat","bulk_ESS","MCSE_mean","posterior_mean","posterior_sd","ESS_per_second","source","source_label"
"log_ell","hyperparameter",1.00282032135419,1491.04220910643,0.0131983574834603,-2.40534048992693,0.509641583187633,13.119597088486,"spike","Narrow spike"
"log_sigma_f","hyperparameter",1.00149492676116,1532.53811151074,0.00389123044117333,-2.8565293913898,0.152332508046742,13.4847172152287,"spike","Narrow spike"
"log_sigma_n","hyperparameter",1.0024309742195,1815.38908104013,0.00797156743484971,-10.7455525424011,0.339647626332822,15.9735070923021,"spike","Narrow spike"
"mu_f(0.25,0.25)","downstream_posterior_mean",1.00214028604886,1530.0800437417,5.91468411225193e-06,-0.00308007455822299,0.000231360189045801,13.4630888142693,"spike","Narrow spike"
"mu_f(0.5,0.5)","downstream_posterior_mean",1.00604543106457,1811.66693158415,1.85685831085087e-05,0.00963306862491613,0.000790347246157985,15.9407561072077,"spike","Narrow spike"
"mu_f(0.75,0.25)","downstream_posterior_mean",1.00172157928688,1811.68489041524,0.000265551982159568,0.246423580546374,0.0113029258523023,15.940914125959,"spike","Narrow spike"
"mu_f(0.75,0.75)","downstream_posterior_mean",1.00300210286463,1480.90779924769,3.1923491004032e-06,0.00185907634859424,0.000122849781355315,13.0304249823818,"spike","Narrow spike"
"log_ell","hyperparameter",1.00798780200874,572.485014120382,0.0193243110812859,-0.945291960816141,0.462366202951395,14.2338392372049,"mixture","Broad + sharp"
"log_sigma_f","hyperparameter",1.0034502897502,738.534932750491,0.00762875346619534,-1.43073028665888,0.207318998126898,18.362380227511,"mixture","Broad + sharp"
"log_sigma_n","hyperparameter",1.00247287759978,786.389585446775,0.00932070562478607,-8.70009633222624,0.261377180296183,19.5522025222967,"mixture","Broad + sharp"
"mu_f(0.25,0.25)","downstream_posterior_mean",1.00098825719722,832.070657754736,0.000119066962849798,0.0221931593832222,0.00343456214927587,20.6879825398989,"mixture","Broad + sharp"
"mu_f(0.5,0.5)","downstream_posterior_mean",1.00229386079976,799.145022839996,0.000465427676093339,0.396209887409276,0.0131572462806072,19.8693441780208,"mixture","Broad + sharp"
"mu_f(0.75,0.25)","downstream_posterior_mean",1.00142687819156,802.998694759005,0.00105721201021473,0.321870295899738,0.0299584615838863,19.9651589945053,"mixture","Broad + sharp"
"mu_f(0.75,0.75)","downstream_posterior_mean",1.00042366761786,870.635804085019,4.60531909415954e-05,0.0643287860311689,0.00135887024363184,21.646837495898,"mixture","Broad + sharp"
"log_ell","hyperparameter",1.00174388210517,794.260713469655,0.0148851122449333,-1.91207634238083,0.419501631968778,19.1896765757346,"dipole","Dipole"
"log_sigma_f","hyperparameter",1.00118964802241,900.519929677086,0.00513819529412207,-1.55649426194979,0.154190377398667,21.7569444232202,"dipole","Dipole"
"log_sigma_n","hyperparameter",1.00293616424342,619.541412828771,0.0137011032323592,-9.83957922774611,0.341028527218434,14.9683839775011,"dipole","Dipole"
"mu_f(0.25,0.25)","downstream_posterior_mean",1.00101663786748,797.644686611968,2.68278671874343e-05,-0.00823462276962727,0.000757688831946824,19.2714348057977,"dipole","Dipole"
"mu_f(0.5,0.5)","downstream_posterior_mean",1.00099156037387,733.783842816904,5.10110867008721e-05,0.0256802091102242,0.00138181100735256,17.7285296645785,"dipole","Dipole"
"mu_f(0.75,0.25)","downstream_posterior_mean",1.00161262767402,715.111855714023,3.46492735248647e-05,-0.0115791632702271,0.00092657616106468,17.2774065164055,"dipole","Dipole"
"mu_f(0.75,0.75)","downstream_posterior_mean",1.00253584201949,787.663206395744,2.35998136931727e-05,-0.0019177612867867,0.000662336751963499,19.030277999414,"dipole","Dipole"
"log_ell","hyperparameter",1.00497365103142,936.932751755178,0.0137439913387126,-1.89392222388434,0.420694741039152,22.6312258878062,"ring","Ring"
"log_sigma_f","hyperparameter",1.00402806587207,866.452385546841,0.00525395505301399,-1.26692984622169,0.154653126427554,20.928801583257,"ring","Ring"
"log_sigma_n","hyperparameter",1.00285350994595,903.319097124608,0.0111812343988565,-8.49707854943129,0.336054989466568,21.8193018629132,"ring","Ring"
"mu_f(0.25,0.25)","downstream_posterior_mean",1.00140493134889,972.862488323862,0.000469616871797729,0.0380568962214257,0.0146476994535553,23.4990939208662,"ring","Ring"
"mu_f(0.5,0.5)","downstream_posterior_mean",1.00207017425351,1070.05804010481,0.000594936933754886,-0.0410162775962307,0.0194614232598327,25.8468125629182,"ring","Ring"
