"iteration","batch","batch_acceptance","gain","log_scale","scale","min_eigenvalue","max_eigenvalue","source","chain"
100,1,0.7,1,1.10158868669866,3.00894249570319,0.0272642594261187,0.173265248719047,"dipole",1
150,2,0.54,0.659753955386447,1.30347339704691,3.68206375156894,0.045324732877501,0.35340144452329,"dipole",1
200,3,0.34,0.517281857971787,1.35830527399192,3.88959591363583,0.0472393058329441,0.484008523056392,"dipole",1
250,4,0.24,0.435275281648062,1.36091692568181,3.89976745986316,0.0483165038955046,0.486121716144509,"dipole",1
300,5,0.24,0.380730787743176,1.36320131040827,3.90868621213748,0.0434033628065285,0.480746413257609,"dipole",1
350,6,0.2,0.341278751846537,1.35159783284548,3.86359397867095,0.0428922081225511,0.49881568748649,"dipole",1
400,7,0.2,0.311129489211826,1.34101943021228,3.82293873881972,0.0451986253051594,0.581404659300055,"dipole",1
450,8,0.22,0.287174588749259,1.33699898596979,3.80759968235014,0.0474933004073476,0.565925198219896,"dipole",1
500,9,0.14,0.267580520586744,1.31184641703464,3.71302317602312,0.0430912502728173,0.532619708629327,"dipole",1
550,10,0.2,0.251188643150958,1.30330600316751,3.6814474482175,0.0428278435609701,0.642834055159404,"dipole",1
600,11,0.18,0.237227148661716,1.29049573713977,3.63458790943143,0.0402399100993148,0.64139294958268,"dipole",1
650,12,0.32,0.225160006420102,1.3098594976919,3.70565302282931,0.0414510703016913,0.741598287914082,"dipole",1
700,13,0.2,0.214602110453007,1.3025630259365,3.67871323244214,0.0401218688897697,0.703595344650887,"dipole",1
750,14,0.14,0.205268911144867,1.28326774828888,3.60841186259313,0.0404358763856312,0.666747923310065,"dipole",1
800,15,0.16,0.196945129270852,1.26869380872284,3.55620444412592,0.039995965898985,0.627602694560151,"dipole",1
850,16,0.08,0.1894645708138,1.23951626481751,3.45394226719382,0.0368984012965649,0.584001883161207,"dipole",1
900,17,0.28,0.182696676564573,1.24792031193948,3.4830916757017,0.0361936097172408,0.57872174386212,"dipole",1
950,18,0.2,0.176537306841469,1.24191804350687,3.4622478422094,0.0358018127656973,0.582905547093676,"dipole",1
1000,19,0.26,0.170902273217667,1.24636150261053,3.47766642946481,0.0363448650567868,0.589582722596845,"dipole",1
1050,20,0.22,0.165722700866999,1.2440413847984,3.46960718644898,0.0359190252737326,0.602888444955879,"dipole",1
1100,21,0.26,0.160941640249306,1.24822586744488,3.48415611615354,0.0360594822442024,0.590197369302071,"dipole",1
1150,22,0.12,0.156511549654616,1.23038355078425,3.4225420032442,0.0344214396412569,0.575350381297876,"dipole",1
1200,23,0.1,0.152392396370317,1.20996296967063,3.353360474207,0.0328529925617741,0.556445003834484,"dipole",1
100,1,0.66,1,1.06158868669866,2.89096017288826,0.0455965032472469,0.879768730385874,"dipole",2
150,2,0.16,0.659753955386447,1.01276689400006,2.75320832144391,0.0586400627873769,0.769135439809482,"dipole",2
200,3,0.26,0.517281857971787,1.02621622230733,2.79048725040478,0.0582828477462502,0.643484553520089,"dipole",2
250,4,0.26,0.435275281648062,1.03753337963018,2.8222470097449,0.0504287768697337,0.748070120834024,"dipole",2
300,5,0.26,0.380730787743176,1.0474323801115,2.85032316793916,0.0488955393575116,0.696247577665622,"dipole",2
350,6,0.26,0.341278751846537,1.05630562765951,2.87572733304112,0.0499314162711599,0.654044434924837,"dipole",2
400,7,0.18,0.311129489211826,1.03950463524207,2.82781586701827,0.0477839538124947,0.612777252202686,"dipole",2
450,8,0.26,0.287174588749259,1.04697117454955,2.8490088861411,0.0459275611042198,0.903617833000705,"dipole",2
500,9,0.2,0.267580520586744,1.0378734368496,2.82320689841485,0.0436496148002433,0.883149388372893,"dipole",2
550,10,0.2,0.251188643150958,1.02933302298247,2.799198211063,0.0455912700911107,0.844647808280298,"dipole",2
600,11,0.18,0.237227148661716,1.01652275695474,2.76356843799516,0.0433083270576285,0.786269805230811,"dipole",2
650,12,0.26,0.225160006420102,1.02237691712166,2.77979425819876,0.0422198284412596,0.865944744245871,"dipole",2
700,13,0.16,0.214602110453007,1.00649636094814,2.73599825221047,0.0399078921292465,0.822691457783953,"dipole",2
750,14,0.24,0.205268911144867,1.00772797441501,2.73937002043459,0.0400257456777693,0.809363499157839,"dipole",2
800,15,0.18,0.196945129270852,0.99709293743438,2.71039108810773,0.0383767124454897,0.776196816829759,"dipole",2
850,16,0.22,0.1894645708138,0.994440433442987,2.70321129135768,0.0373468048910871,0.770390435352559,"dipole",2
900,17,0.2,0.182696676564573,0.988228746439791,2.68647183287499,0.0377263157132046,0.751120756023571,"dipole",2
950,18,0.14,0.176537306841469,0.971634239596693,2.64225901719388,0.0407344847379409,0.703850974437803,"dipole",2
1000,19,0.1,0.170902273217667,0.948733334985526,2.5824365047856,0.0388334164391059,0.664614924949178,"dipole",2
1050,20,0.12,0.165722700866999,0.929840947086688,2.53410608860643,0.0373150345904213,0.641089635916449,"dipole",2
1100,21,0.22,0.160941640249306,0.927587764123198,2.52840271172864,0.0371093112066286,0.665019102248012,"dipole",2
1150,22,0.14,0.156511549654616,0.912875678455664,2.49147692811009,0.0368109792594758,0.670133576729898,"dipole",2
1200,23,0.2,0.152392396370317,0.907694336979073,2.47860112114647,0.0357843300842657,0.641584325137739,"dipole",2
100,1,0.6,1,1.00158868669866,2.72260375883075,0.0534591845480176,0.126959770699588,"dipole",3
150,2,0.34,0.659753955386447,1.07152260596962,2.91982185532752,0.0431779686199341,0.524953289289469,"dipole",3
200,3,0.1,0.517281857971787,1.0022068370014,2.7242872574425,0.0332490875405449,0.440020072664077,"dipole",3
250,4,0.24,0.435275281648062,1.00481848869129,2.73141144576203,0.0306532337752187,0.394737977350635,"dipole",3
300,5,0.22,0.380730787743176,0.999488257662885,2.71689112443463,0.0287625518159213,0.385018357860721,"dipole",3
