"iteration","batch","batch_acceptance","gain","log_scale","scale","min_eigenvalue","max_eigenvalue","source","chain"
100,1,0.72,1,1.12158868669866,3.06972716617984,0.0288872363154719,0.237601462884206,"edge",1
150,2,0.42,0.659753955386447,1.24430292240054,3.47051473786712,0.0315090194126413,0.299377561433362,"edge",1
200,3,0.4,0.517281857971787,1.33017171082385,3.78169268938836,0.0391464621192025,0.419594273847904,"edge",1
250,4,0.38,0.435275281648062,1.39372190194447,4.02982077370857,0.045999674532162,0.473573054245293,"edge",1
300,5,0.14,0.380730787743176,1.35793320789661,3.88814899606309,0.0444809075511512,0.740617217274039,"edge",1
350,6,0.24,0.341278751846537,1.35998088040769,3.89611880887986,0.050390037996855,0.751320932925184,"edge",1
400,7,0.18,0.311129489211826,1.34317988799025,3.83120696491334,0.0712132928401427,0.720636580035637,"edge",1
450,8,0.14,0.287174588749259,1.31618547664782,3.72916920889623,0.0671192120807756,0.670691871105056,"edge",1
500,9,0.14,0.267580520586744,1.29103290771267,3.6365408275791,0.0622131880317526,0.606802189508331,"edge",1
550,10,0.26,0.251188643150958,1.29756381243459,3.66036845252285,0.0617307156540375,0.612248826344433,"edge",1
600,11,0.18,0.237227148661716,1.28475354640686,3.6137772190787,0.0611465606607805,0.590772308030928,"edge",1
650,12,0.18,0.225160006420102,1.27259490606017,3.57010463919249,0.0612438071397289,0.558580877557082,"edge",1
700,13,0.24,0.214602110453007,1.27388251872289,3.5747045119248,0.0613550117297455,0.542584934290131,"edge",1
750,14,0.1,0.205268911144867,1.24637648462948,3.47771853231944,0.0580970254322783,0.506113488698276,"edge",1
800,15,0.12,0.196945129270852,1.2239247398926,3.40050768601957,0.0582010912562943,0.477522543110474,"edge",1
850,16,0.1,0.1894645708138,1.19853648740355,3.31526144369247,0.0545714336284076,0.442583193302009,"edge",1
900,17,0.12,0.182696676564573,1.17770906627519,3.24692718084916,0.0512237197389249,0.418822925473258,"edge",1
950,18,0.26,0.176537306841469,1.18229903625307,3.26186473436557,0.0535101429211657,0.419986135874796,"edge",1
1000,19,0.22,0.170902273217667,1.17990640442802,3.25406962212865,0.052135285924491,0.405851427211459,"edge",1
1050,20,0.3,0.165722700866999,1.19084410268525,3.28985701282449,0.0531031688265185,0.406730516306117,"edge",1
1100,21,0.2,0.160941640249306,1.18537208691677,3.27190402768028,0.0530280548838945,0.406796143786213,"edge",1
1150,22,0.28,0.156511549654616,1.19257161820088,3.29554520366272,0.0535090057072904,0.402709551355997,"edge",1
1200,23,0.18,0.152392396370317,1.18434242879688,3.26853681896508,0.0522121681913426,0.396109009208243,"edge",1
100,1,0.52,1,0.921588686698657,2.51328003451036,0.0270178520955869,0.604021144530672,"edge",2
150,2,0.26,0.659753955386447,0.938742289538705,2.55676372680502,0.0308160821592361,0.502548255884772,"edge",2
200,3,0.3,0.517281857971787,0.972882892164842,2.64556034137594,0.0326572774450345,0.542367820290361,"edge",2
250,4,0.26,0.435275281648062,0.984200049487692,2.67567062399762,0.0540914832801249,0.456784762514923,"edge",2
300,5,0.44,0.380730787743176,1.06263059176279,2.89397384864197,0.0589810612311327,0.495360799335462,"edge",2
350,6,0.3,0.341278751846537,1.08515498938466,2.95989853604317,0.0582861173921619,0.497896108263986,"edge",2
400,7,0.22,0.311129489211826,1.08079917653569,2.94703381047701,0.0535114253834469,0.484434181652818,"edge",2
450,8,0.16,0.287174588749259,1.05954825696825,2.88506738575557,0.0516413451661843,0.460858083139767,"edge",2
500,9,0.24,0.267580520586744,1.06115374009177,2.88970303298459,0.0540147916163339,0.489449548903792,"edge",2
550,10,0.1,0.251188643150958,1.02749446190954,2.794056442373,0.0504016590361051,0.461793879758746,"edge",2
600,11,0.28,0.237227148661716,1.03840691074798,2.82471340741075,0.0485586899777264,0.46052998738452,"edge",2
650,12,0.26,0.225160006420102,1.0442610709149,2.84129822986176,0.0490663529845772,0.459219947095042,"edge",2
700,13,0.26,0.214602110453007,1.04984072578668,2.8571960041743,0.0501228038491204,0.456470942674513,"edge",2
