"iteration","batch","batch_acceptance","gain","log_scale","scale","min_eigenvalue","max_eigenvalue","source","chain"
100,1,0.7,1,1.10158868669866,3.00894249570319,0.0299625012988015,0.253617711961165,"mixture",1
150,2,0.42,0.659753955386447,1.22430292240054,3.4017939417489,0.0318060911559416,0.455811866700452,"mixture",1
200,3,0.26,0.517281857971787,1.2377522507078,3.44785483503701,0.0359223484438172,0.453767228585663,"mixture",1
250,4,0.34,0.435275281648062,1.2838914305625,3.61066306705292,0.0442255901829723,0.577356239468356,"mixture",1
300,5,0.22,0.380730787743176,1.27856119953409,3.5914685996577,0.0464851779289845,0.549780110898089,"mixture",1
350,6,0.18,0.341278751846537,1.26013214693438,3.52588739179058,0.0432822892132947,0.593474154736551,"mixture",1
400,7,0.22,0.311129489211826,1.25577633408541,3.51056268618995,0.040625834347161,0.579428810928324,"mixture",1
450,8,0.16,0.287174588749259,1.23452541451797,3.43674710333159,0.0399646090728955,0.548972186144779,"mixture",1
500,9,0.3,0.267580520586744,1.25218572887669,3.49798024433222,0.0412345146947039,0.559273048894289,"mixture",1
550,10,0.3,0.251188643150958,1.26876417932466,3.55645470517825,0.0429641594654003,0.649370098444986,"mixture",1
600,11,0.2,0.237227148661716,1.26069845627016,3.52788470023128,0.0409166047151811,0.689095322544121,"mixture",1
650,12,0.28,0.225160006420102,1.27105581656548,3.56461415490453,0.0426494250990197,0.71996320049675,"mixture",1
700,13,0.26,0.214602110453007,1.27663547143726,3.58455906274643,0.0479658732739518,0.719210837105601,"mixture",1
750,14,0.36,0.205268911144867,1.30249935424151,3.67847900999201,0.0481289941533297,0.750858011290907,"mixture",1
800,15,0.18,0.196945129270852,1.29186431726089,3.63956553955862,0.0450554017005698,0.728336604054162,"mixture",1
850,16,0.24,0.1894645708138,1.29300110468577,3.64370530446656,0.0474095043028308,0.74653220316378,"mixture",1
900,17,0.3,0.182696676564573,1.30505908533903,3.6879069885025,0.0506722487727284,0.778506492349655,"mixture",1
950,18,0.22,0.176537306841469,1.30258756304325,3.67880349852887,0.0486881398061015,0.751895807424938,"mixture",1
1000,19,0.18,0.170902273217667,1.2933588402895,3.64500902076242,0.0480480455135885,0.733391385596976,"mixture",1
1050,20,0.2,0.165722700866999,1.28772426846002,3.62452870869529,0.048271939406588,0.722256662701618,"mixture",1
1100,21,0.36,0.160941640249306,1.30800291513143,3.69877955460694,0.0506191708740132,0.757704937639676,"mixture",1
