"iteration","batch","batch_acceptance","gain","log_scale","scale","min_eigenvalue","max_eigenvalue","source","chain"
100,1,0.66,1,1.06158868669866,2.89096017288826,0.0247980711767694,0.360217204392174,"sine",1
150,2,0.4,0.659753955386447,1.17110784329281,3.2255640793957,0.0208123347284654,0.499663205543587,"sine",1
200,3,0.34,0.517281857971787,1.22593972023782,3.40736655008813,0.0223619213703951,0.57284646613705,"sine",1
250,4,0.22,0.435275281648062,1.21984586629474,3.38666569405853,0.0220722747155216,0.530582328867827,"sine",1
300,5,0.36,0.380730787743176,1.26781794555038,3.55309105926819,0.0235343503046029,0.643322621408926,"sine",1
350,6,0.3,0.341278751846537,1.29034234317226,3.63403042832993,0.0264751559606019,0.697014251380426,"sine",1
400,7,0.36,0.311129489211826,1.32954465881295,3.77932211469734,0.0326055857085797,0.751513506326631,"sine",1
450,8,0.16,0.287174588749259,1.3082937392455,3.69985540532812,0.0362596767770854,0.729072703586746,"sine",1
500,9,0.32,0.267580520586744,1.33130566401596,3.78598338414881,0.0369174986035912,0.722633304622228,"sine",1
550,10,0.24,0.251188643150958,1.33281279587487,3.79169366231454,0.0344439701252132,0.688656197397703,"sine",1
600,11,0.24,0.237227148661716,1.33423615876684,3.79709446110767,0.0343222238497161,0.677578076263367,"sine",1
650,12,0.3,0.225160006420102,1.34909671919056,3.85394276543558,0.0354666671696975,0.674347672164264,"sine",1
700,13,0.24,0.214602110453007,1.35038433185328,3.85890834712862,0.0347863258968404,0.669982218770967,"sine",1
750,14,0.28,0.205268911144867,1.35982670176594,3.89551815687888,0.0352206071602853,0.660487822787591,"sine",1
800,15,0.2,0.196945129270852,1.35313056737074,3.86952038319579,0.0349467216243798,0.633595114393343,"sine",1
850,16,0.28,0.1894645708138,1.36184593762817,3.90339207381556,0.0354290432756612,0.673903477402288,"sine",1
900,17,0.2,0.182696676564573,1.35563425062498,3.87922057461747,0.0364271504057193,0.696586266077191,"sine",1
950,18,0.14,0.176537306841469,1.33903974378188,3.81537800528431,0.0351705260920236,0.667066293887681,"sine",1
1000,19,0.08,0.170902273217667,1.31272079370636,3.71627117665084,0.0340852774305519,0.638882124742381,"sine",1
1050,20,0.22,0.165722700866999,1.31040067589422,3.70765898421294,0.037059126675642,0.625341972860911,"sine",1
1100,21,0.28,0.160941640249306,1.31780399134569,3.73520981115476,0.0366436910116695,0.629633953066936,"sine",1
1150,22,0.22,0.156511549654616,1.31561282965052,3.72703432267276,0.0366011610826608,0.628680810921621,"sine",1
1200,23,0.38,0.152392396370317,1.33786211952059,3.81088756812212,0.0377065744687965,0.653359000903306,"sine",1
100,1,0.62,1,1.02158868669866,2.77760400312101,0.0621503900293069,0.576839988961565,"sine",2
150,2,0.22,0.659753955386447,1.01235213132325,2.75206663017251,0.0463590677032548,0.627953961487738,"sine",2
200,3,0.28,0.517281857971787,1.03614709678995,2.81833728776079,0.0418543164446144,0.554593799800263,"sine",2
250,4,0.22,0.435275281648062,1.03005324284688,2.80121497538871,0.0418382060397621,0.571163169175157,"sine",2
300,5,0.16,0.380730787743176,1.00187916455388,2.72339472980545,0.0372993088181088,0.523131161574033,"sine",2
350,6,0.16,0.341278751846537,0.976624536917237,2.65547763026026,0.0354865963160356,0.484396568902287,"sine",2
400,7,0.24,0.311129489211826,0.978491313852508,2.66043944451183,0.0383188373241663,0.473744682204118,"sine",2
450,8,0.14,0.287174588749259,0.951496902510078,2.58958311296318,0.0368352235009857,0.431655374295926,"sine",2
500,9,0.32,0.267580520586744,0.974508827280538,2.64986534971938,0.0401049738887012,0.47075241227417,"sine",2
550,10,0.14,0.251188643150958,0.950897094824348,2.58803032684226,0.0387421986775165,0.439061310044705,"sine",2
600,11,0.16,0.237227148661716,0.933342285823381,2.54299440383814,0.0366650899119471,0.444096015684234,"sine",2
650,12,0.24,0.225160006420102,0.934693245861902,2.54643220930195,0.0350398593905401,0.431810473444926,"sine",2
700,13,0.3,0.214602110453007,0.9488569851518,2.58275584323153,0.0358243858138235,0.449938409903027,"sine",2
750,14,0.16,0.205268911144867,0.93366708572708,2.54382050232671,0.0335623311369301,0.449997186084287,"sine",2
800,15,0.14,0.196945129270852,0.91515424357562,2.49716039314928,0.0316299771845308,0.424113800913581,"sine",2
850,16,0.34,0.1894645708138,0.935237488081883,2.54781846241509,0.0346981291712338,0.44909428641085,"sine",2
900,17,0.28,0.182696676564573,0.943641535203853,2.56932067508096,0.0345911738542785,0.465054855279653,"sine",2
950,18,0.32,0.176537306841469,0.958823743592219,2.60862625474726,0.0393288665481485,0.504811928436489,"sine",2
1000,19,0.14,0.170902273217667,0.942758929909759,2.56705397949682,0.0385337554882132,0.49489250436918,"sine",2
1050,20,0.26,0.165722700866999,0.9470677201323,2.57813874038942,0.0375828078656946,0.49183302387143,"sine",2
1100,21,0.26,0.160941640249306,0.951252202778782,2.58894952019442,0.0368511884933659,0.498714132505109,"sine",2
1150,22,0.2,0.156511549654616,0.945930810090525,2.57520929414035,0.0354236141400375,0.485978318184107,"sine",2
1200,23,0.16,0.152392396370317,0.934653772759122,2.54633169570543,0.0339248548198766,0.472960748961707,"sine",2
100,1,0.52,1,0.921588686698657,2.51328003451036,0.0191254425455146,0.282784483056624,"sine",3
150,2,0.38,0.659753955386447,1.01791276418508,2.76741248911601,0.0171741817043068,0.296005533951921,"sine",3
200,3,0.26,0.517281857971787,1.03136209249234,2.8048837450263,0.0239098128618228,0.291550256665185,"sine",3
250,4,0.42,0.435275281648062,1.11232329487888,3.04141629937667,0.0299676180781497,0.331512101623796,"sine",3
300,5,0.3,0.380730787743176,1.13745152686993,3.11881002513869,0.0305316640138563,0.386321362679717,"sine",3
350,6,0.32,0.341278751846537,1.16680149952874,3.21170355714338,0.031198092737109,0.416172978991738,"sine",3
400,7,0.24,0.311129489211826,1.16866827646401,3.21770469091307,0.0312530035035622,0.485394090105589,"sine",3
450,8,0.16,0.287174588749259,1.14741735689656,3.15004694813577,0.0298139238321334,0.53922224938672,"sine",3
500,9,0.18,0.267580520586744,1.13296800878488,3.10485808424852,0.031015408097727,0.507353767862861,"sine",3
550,10,0.24,0.251188643150958,1.13447514064378,3.10954104281627,0.0306966369304753,0.543497823968559,"sine",3
600,11,0.36,0.237227148661716,1.16436576137516,3.20389020775081,0.03361422917885,0.567987292252012,"sine",3
650,12,0.22,0.225160006420102,1.16121352128528,3.19380667779772,0.0322063873771418,0.533436868205473,"sine",3
700,13,0.2,0.214602110453007,1.15391704952988,3.17058796792204,0.0310635521650718,0.518730941751834,"sine",3
