"log_ell","log_sigma_f","log_sigma_n","source","chain","retained_draw"
-2.4113827285716,-2.95583429139393,-10.6041185038989,"spike",1,1
-2.4113827285716,-2.95583429139393,-10.6041185038989,"spike",1,2
-2.4113827285716,-2.95583429139393,-10.6041185038989,"spike",1,3
-2.16357041467048,-2.99948590661878,-10.5663441759828,"spike",1,4
-2.16357041467048,-2.99948590661878,-10.5663441759828,"spike",1,5
-2.60362585947731,-2.84881373052956,-10.9107644514971,"spike",1,6
-2.60362585947731,-2.84881373052956,-10.9107644514971,"spike",1,7
-2.60362585947731,-2.84881373052956,-10.9107644514971,"spike",1,8
-2.60362585947731,-2.84881373052956,-10.9107644514971,"spike",1,9
-2.60362585947731,-2.84881373052956,-10.9107644514971,"spike",1,10
-2.306887107827,-2.98469521653332,-11.0050077064141,"spike",1,11
-2.306887107827,-2.98469521653332,-11.0050077064141,"spike",1,12
-2.60831301843837,-3.00336943082956,-10.5605569326428,"spike",1,13
-2.60831301843837,-3.00336943082956,-10.5605569326428,"spike",1,14
-2.60831301843837,-3.00336943082956,-10.5605569326428,"spike",1,15
-2.80132570903628,-2.93491072298455,-10.5858075235955,"spike",1,16
-2.92099100860346,-2.84959789281889,-10.847800001848,"spike",1,17
-2.92099100860346,-2.84959789281889,-10.847800001848,"spike",1,18
-3.16788476980305,-2.88699873918544,-10.7662980176127,"spike",1,19
-3.16788476980305,-2.88699873918544,-10.7662980176127,"spike",1,20
-3.16788476980305,-2.88699873918544,-10.7662980176127,"spike",1,21
-3.18451800687532,-2.95325879515168,-10.9646638643356,"spike",1,22
-2.75359293337731,-2.84949493997044,-11.0405958524159,"spike",1,23
-3.07153736123288,-2.87724441344274,-10.553648761285,"spike",1,24
-2.81634685900797,-3.07773718032525,-11.0081123174221,"spike",1,25
-2.48046763249415,-2.77962399495553,-11.1843631901424,"spike",1,26
-1.83603945293393,-2.83529418050267,-10.6139920164166,"spike",1,27
-1.83603945293393,-2.83529418050267,-10.6139920164166,"spike",1,28
-2.24876514816206,-2.96133752920579,-9.86268733099022,"spike",1,29
-1.98347209598094,-2.96629761937649,-11.1001180898759,"spike",1,30
-1.98347209598094,-2.96629761937649,-11.1001180898759,"spike",1,31
-2.6704065677765,-2.77652472760361,-10.6958977606224,"spike",1,32
-1.83754314863981,-2.83023569552041,-10.2947514516865,"spike",1,33
-1.83754314863981,-2.83023569552041,-10.2947514516865,"spike",1,34
-1.83754314863981,-2.83023569552041,-10.2947514516865,"spike",1,35
-2.35692609203607,-2.86439422708615,-10.7777903940919,"spike",1,36
-2.35692609203607,-2.86439422708615,-10.7777903940919,"spike",1,37
-2.2288366491053,-2.89278460691102,-10.4299085099013,"spike",1,38
-2.59288535487046,-2.91174163962349,-10.4280000526444,"spike",1,39
-2.59288535487046,-2.91174163962349,-10.4280000526444,"spike",1,40
-2.59288535487046,-2.91174163962349,-10.4280000526444,"spike",1,41
-2.59288535487046,-2.91174163962349,-10.4280000526444,"spike",1,42
-2.59288535487046,-2.91174163962349,-10.4280000526444,"spike",1,43
-2.59288535487046,-2.91174163962349,-10.4280000526444,"spike",1,44
-2.59288535487046,-2.91174163962349,-10.4280000526444,"spike",1,45
-2.07192778012333,-2.89043372578699,-10.9228081836631,"spike",1,46
-1.89418261542461,-2.67008534491795,-10.4775184854365,"spike",1,47
-1.89418261542461,-2.67008534491795,-10.4775184854365,"spike",1,48
-1.89418261542461,-2.67008534491795,-10.4775184854365,"spike",1,49
-1.89418261542461,-2.67008534491795,-10.4775184854365,"spike",1,50
-1.23704418868465,-2.54241921592116,-10.8092265191391,"spike",1,51
-2.9129727406752,-2.7874072557843,-10.7818346805469,"spike",1,52
-2.67745853181568,-2.8728464795023,-10.7258637492538,"spike",1,53
-2.67745853181568,-2.8728464795023,-10.7258637492538,"spike",1,54
-1.90601609815995,-2.97978933476908,-10.7905627767964,"spike",1,55
-1.90601609815995,-2.97978933476908,-10.7905627767964,"spike",1,56
-1.83384989956828,-2.88636173910464,-10.4736064533834,"spike",1,57
-1.94448673337243,-2.78413105192421,-10.9020714275079,"spike",1,58
-2.19037140129442,-2.68969749933677,-10.7851630335644,"spike",1,59
-2.3827527450092,-2.95491862646915,-10.8681197698247,"spike",1,60
-2.76820443906288,-2.92632619295288,-10.3498359098665,"spike",1,61
-2.76820443906288,-2.92632619295288,-10.3498359098665,"spike",1,62
-2.76820443906288,-2.92632619295288,-10.3498359098665,"spike",1,63
-2.49118388308202,-3.06803148324054,-10.9206587885451,"spike",1,64
-2.49118388308202,-3.06803148324054,-10.9206587885451,"spike",1,65
-2.59971956873388,-3.15836801054097,-10.1646854801817,"spike",1,66
-2.01273350055056,-2.73200568283219,-10.7560747251098,"spike",1,67
-2.17835255191022,-2.7863916764643,-10.8005948530069,"spike",1,68
-2.34462444488311,-2.87807133068152,-10.8182188855467,"spike",1,69
-2.34462444488311,-2.87807133068152,-10.8182188855467,"spike",1,70
-1.83707030097336,-2.71533205261264,-10.8872089924104,"spike",1,71
-2.30102693118059,-2.8440757633336,-10.531281290977,"spike",1,72
-2.30102693118059,-2.8440757633336,-10.531281290977,"spike",1,73
-2.30102693118059,-2.8440757633336,-10.531281290977,"spike",1,74
-2.81912515363749,-2.9745565699796,-10.4911524383225,"spike",1,75
-2.97468137155573,-2.84971759837397,-10.611016496587,"spike",1,76
-2.68755897583062,-2.66353942346987,-10.9695595736061,"spike",1,77
-0.891448149017488,-2.48796150091302,-11.36864689778,"spike",1,78
-0.162963610523178,-2.0396282655646,-10.3573335523909,"spike",1,79
-0.162963610523178,-2.0396282655646,-10.3573335523909,"spike",1,80
-0.162963610523178,-2.0396282655646,-10.3573335523909,"spike",1,81
-0.732566279286018,-2.23249218180134,-11.0258270892862,"spike",1,82
-0.732566279286018,-2.23249218180134,-11.0258270892862,"spike",1,83
-0.732566279286018,-2.23249218180134,-11.0258270892862,"spike",1,84
-1.30660199646482,-2.41290434522631,-10.7970486818395,"spike",1,85
