"source","source_label","budget","method","label","nominal","empirical","method_label"
"spike","Narrow spike",16,"uniform","Uniform",0.5,0.975014872099941,"Uniform"
"spike","Narrow spike",16,"uniform","Uniform",0.6,0.980963712076145,"Uniform"
"spike","Narrow spike",16,"uniform","Uniform",0.7,0.985722784057109,"Uniform"
"spike","Narrow spike",16,"uniform","Uniform",0.8,0.985722784057109,"Uniform"
"spike","Narrow spike",16,"uniform","Uniform",0.9,0.988102320047591,"Uniform"
"spike","Narrow spike",16,"uniform","Uniform",0.95,0.990481856038073,"Uniform"
"spike","Narrow spike",16,"uniform","Uniform",0.975,0.990481856038073,"Uniform"
"spike","Narrow spike",16,"uniform","Uniform",0.99,0.990481856038073,"Uniform"
"spike","Narrow spike",16,"random","Random",0.5,0.96192742415229,"Random"
"spike","Narrow spike",16,"random","Random",0.6,0.979773944080904,"Random"
"spike","Narrow spike",16,"random","Random",0.7,0.985127900059488,"Random"
"spike","Narrow spike",16,"random","Random",0.8,0.98750743604997,"Random"
"spike","Narrow spike",16,"random","Random",0.9,0.988697204045211,"Random"
"spike","Narrow spike",16,"random","Random",0.95,0.990481856038073,"Random"
"spike","Narrow spike",16,"random","Random",0.975,0.990481856038073,"Random"
"spike","Narrow spike",16,"random","Random",0.99,0.991076740035693,"Random"
"spike","Narrow spike",16,"max_source_variance","Max source variance",0.5,0.976204640095181,"Maximum variance"
"spike","Narrow spike",16,"max_source_variance","Max source variance",0.6,0.982153480071386,"Maximum variance"
"spike","Narrow spike",16,"max_source_variance","Max source variance",0.7,0.984533016061868,"Maximum variance"
"spike","Narrow spike",16,"max_source_variance","Max source variance",0.8,0.985722784057109,"Maximum variance"
"spike","Narrow spike",16,"max_source_variance","Max source variance",0.9,0.988102320047591,"Maximum variance"
"spike","Narrow spike",16,"max_source_variance","Max source variance",0.95,0.989886972040452,"Maximum variance"
"spike","Narrow spike",16,"max_source_variance","Max source variance",0.975,0.990481856038073,"Maximum variance"
"spike","Narrow spike",16,"max_source_variance","Max source variance",0.99,0.990481856038073,"Maximum variance"
"spike","Narrow spike",16,"variance_times_gradient","Variance x |gradient mean|",0.5,0.970255800118977,"Variance x gradient"
