"budget","method","label","RMSE","RMSE_uniform","RMSE_difference","relative_RMSE_gain_percent","source","source_label","method_label"
16,"random","Random",0.0563595081570055,0.0583315844049223,-0.00197207624791675,3.38080350128522,"spike","Narrow spike","Random"
16,"max_source_variance","Max source variance",0.0591787433632319,0.0583315844049223,0.000847158958309648,-1.45231604276149,"spike","Narrow spike","Maximum variance"
16,"variance_times_gradient","Variance x |gradient mean|",0.05318426056583,0.0583315844049223,-0.00514732383909228,8.82424828950459,"spike","Narrow spike","Variance x gradient"
16,"random","Random",0.0777879621328382,0.0763577634392978,0.00143019869354041,-1.87302329078481,"mixture","Broad + sharp","Random"
16,"max_source_variance","Max source variance",0.0748282402628492,0.0763577634392978,-0.00152952317644864,2.00310106995809,"mixture","Broad + sharp","Maximum variance"
16,"variance_times_gradient","Variance x |gradient mean|",0.0964174065172761,0.0763577634392978,0.0200596430779783,-26.2706006232426,"mixture","Broad + sharp","Variance x gradient"
16,"random","Random",0.119284090216514,0.125472600731826,-0.00618851051531254,4.93216086955853,"dipole","Dipole","Random"
16,"max_source_variance","Max source variance",0.163858454045366,0.125472600731826,0.0383858533135401,-30.5930163953345,"dipole","Dipole","Maximum variance"
16,"variance_times_gradient","Variance x |gradient mean|",0.169436790116165,0.125472600731826,0.0439641893843389,-35.0388763187463,"dipole","Dipole","Variance x gradient"
16,"random","Random",0.202067729794136,0.222106934396942,-0.0200392046028063,9.0223228091532,"ring","Ring","Random"
16,"max_source_variance","Max source variance",0.211319769998183,0.222106934396942,-0.0107871643987596,4.85674363479399,"ring","Ring","Maximum variance"
16,"variance_times_gradient","Variance x |gradient mean|",0.247357331134812,0.222106934396942,0.0252503967378695,-11.3685764951142,"ring","Ring","Variance x gradient"
16,"random","Random",0.263734652806083,0.221267948620182,0.042466704185901,-19.1924336311344,"edge","Moving edge","Random"
16,"max_source_variance","Max source variance",0.243933959583762,0.221267948620182,0.0226660109635797,-10.243693722893,"edge","Moving edge","Maximum variance"
16,"variance_times_gradient","Variance x |gradient mean|",0.255268316110366,0.221267948620182,0.0340003674901835,-15.3661511765298,"edge","Moving edge","Variance x gradient"
16,"random","Random",0.283757381858078,0.171614857486664,0.112142524371414,-65.3454636817376,"sine","Sine-cosine","Random"
16,"max_source_variance","Max source variance",0.19337200954652,0.171614857486664,0.0217571520598552,-12.6778953631948,"sine","Sine-cosine","Maximum variance"
16,"variance_times_gradient","Variance x |gradient mean|",0.447836007817881,0.171614857486664,0.276221150331217,-160.954100581112,"sine","Sine-cosine","Variance x gradient"
