"source","source_label","budget","method","label","RMSE","MAE","Coverage95","CalibrationMAE","CRPS","NLPD","MeanSD","MeanVariance","LatentIntegratedVariance","method_label"
"spike","Narrow spike",16,"uniform","Uniform",0.0583315844049223,0.0152122487707859,0.990481856038073,0.183996505056514,0.027908202102908,-1.25745541545587,0.0948214115395267,0.00901342606232093,0.00860084089164426,"Uniform"
"spike","Narrow spike",16,"random","Random",0.0563595081570055,0.0147758837522134,0.990481856038073,0.182509295062463,0.0280628613228289,-1.25191449887355,0.0956567736597915,0.00918269507964835,0.00877879998862711,"Random"
"spike","Narrow spike",16,"max_source_variance","Max source variance",0.0591787433632319,0.0141087238622023,0.989886972040452,0.184070865556217,0.0279643105747728,-1.25425411630195,0.0952046214913314,0.00909070226579559,0.00868019078626328,"Maximum variance"
"spike","Narrow spike",16,"variance_times_gradient","Variance x |gradient mean|",0.05318426056583,0.0148487134158817,0.991076740035693,0.183401621058894,0.0282785261144125,-1.23437282754342,0.0985997054946109,0.00976682371226432,0.00940247074653684,"Variance x gradient"
"mixture","Broad + sharp",16,"uniform","Uniform",0.0763577634392978,0.0342356430321924,0.992861392028554,0.18912737953599,0.0571779469157742,-0.565591873473836,0.214475956289417,0.0463999665804838,0.0448538863980788,"Uniform"
"mixture","Broad + sharp",16,"random","Random",0.0777879621328382,0.044415557263112,0.993456276026175,0.18853249553837,0.0607390456604428,-0.515497675288666,0.224272919238369,0.0510901667323244,0.0496680372453299,"Random"
"mixture","Broad + sharp",16,"max_source_variance","Max source variance",0.0748282402628492,0.0375306974943556,0.993456276026175,0.189647903033908,0.0579629366055434,-0.551076810997309,0.216334917071482,0.0473321375704331,0.0458044213128602,"Maximum variance"
"mixture","Broad + sharp",16,"variance_times_gradient","Variance x |gradient mean|",0.0964174065172761,0.0616200146261014,0.994051160023795,0.182732376561571,0.0682519723500676,-0.442610212204165,0.239835750184697,0.058631281511604,0.0573382401224274,"Variance x gradient"
"dipole","Dipole",16,"uniform","Uniform",0.125472600731826,0.0616080734485763,0.944080904223676,0.101250371802499,0.0561415862435676,-0.641283532887303,0.10773829039764,0.0116389965301537,0.0111271380985992,"Uniform"
"dipole","Dipole",16,"random","Random",0.119284090216514,0.0635408289873492,0.941106484235574,0.0983503123140987,0.0554437247797127,-0.692067591092682,0.108950206452083,0.0119154808239258,0.0114263408590356,"Random"
"dipole","Dipole",16,"max_source_variance","Max source variance",0.163858454045366,0.0724661330952617,0.917906008328376,0.117014797739441,0.0674190573185114,-0.232095573249447,0.108248760697657,0.0117554618795017,0.0112473002543124,"Maximum variance"
"dipole","Dipole",16,"variance_times_gradient","Variance x |gradient mean|",0.169436790116165,0.0686320276049221,0.914931588340274,0.123855963712076,0.068653438774435,-0.202348064131674,0.112047575165858,0.0126174012762465,0.0121616751075185,"Variance x gradient"
"ring","Ring",16,"uniform","Uniform",0.222106934396942,0.128674372429332,0.841760856632957,0.118487135633551,0.113231907120559,-0.00501749080812614,0.178932958083307,0.0322661308164159,0.0311710613590243,"Uniform"
"ring","Ring",16,"random","Random",0.202067729794136,0.137517677722075,0.91017251635931,0.0581807703747769,0.107094249555026,-0.149117521493024,0.18619770445507,0.0351437299633918,0.0341345441381591,"Random"
"ring","Ring",16,"max_source_variance","Max source variance",0.211319769998183,0.143223726715369,0.906603212373587,0.0470266954193932,0.111214635028313,-0.104397813996182,0.180318214389796,0.0328423527432422,0.0317597400740363,"Maximum variance"
"ring","Ring",16,"variance_times_gradient","Variance x |gradient mean|",0.247357331134812,0.156183820695664,0.900059488399762,0.0804889202855443,0.122701988726048,0.0070694019226642,0.201076098569033,0.0411011087712397,0.0402305990385934,"Variance x gradient"
"edge","Moving edge",16,"uniform","Uniform",0.221267948620182,0.162296421487856,1,0.16265504164188,0.148113049274519,0.267544264991502,0.470834094002678,0.224506636028762,0.217259643833934,"Uniform"
"edge","Moving edge",16,"random","Random",0.263734652806083,0.190463573334579,1,0.148972709696609,0.167362320151622,0.352372892938639,0.501714359978803,0.258088219385127,0.251423976490323,"Random"
"edge","Moving edge",16,"max_source_variance","Max source variance",0.243933959583762,0.174749436159369,1,0.151724048185604,0.156137748587141,0.296485033356672,0.476374049877953,0.230748519152111,0.223600928619034,"Maximum variance"
"edge","Moving edge",16,"variance_times_gradient","Variance x |gradient mean|",0.255268316110366,0.175823325534059,0.997620464009518,0.153954863176681,0.173195558143014,0.426668716053922,0.549669116459055,0.310385696216546,0.304794293327626,"Variance x gradient"
"sine","Sine-cosine",16,"uniform","Uniform",0.171614857486664,0.110045959839044,0.892920880428317,0.0638321683521713,0.0870503008432054,-0.342399200834978,0.137263734608355,0.0188898384019522,0.0182398518916256,"Uniform"
"sine","Sine-cosine",16,"random","Random",0.283757381858078,0.18506501971281,0.789411064842356,0.117089158239143,0.148041923953346,0.790009443067045,0.140231788398101,0.019733079768988,0.0191977360077941,"Random"
"sine","Sine-cosine",16,"max_source_variance","Max source variance",0.19337200954652,0.134001411366136,0.873884592504462,0.044810752528257,0.101708496149992,-0.120217113140567,0.138280515804793,0.0191765140446641,0.0185478912560081,"Maximum variance"
"sine","Sine-cosine",16,"variance_times_gradient","Variance x |gradient mean|",0.447836007817881,0.352466321133129,0.48720999405116,0.400179580606782,0.293365645804496,3.47083969512375,0.146115114820445,0.0214265113628062,0.0210703964520735,"Variance x gradient"
