"source","source_label","budget","method","label","nominal","empirical"
"ring","Ring-shaped source",16,"uniform","Uniform",0.5,0.742415229030339
"ring","Ring-shaped source",16,"uniform","Uniform",0.6,0.788816180844735
"ring","Ring-shaped source",16,"uniform","Uniform",0.7,0.801308744794765
"ring","Ring-shaped source",16,"uniform","Uniform",0.8,0.809042236763831
"ring","Ring-shaped source",16,"uniform","Uniform",0.9,0.829268292682927
"ring","Ring-shaped source",16,"uniform","Uniform",0.95,0.841760856632957
"ring","Ring-shaped source",16,"uniform","Uniform",0.975,0.853658536585366
"ring","Ring-shaped source",16,"uniform","Uniform",0.99,0.88399762046401
"ring","Ring-shaped source",16,"random","Random",0.5,0.625223081499108
"ring","Ring-shaped source",16,"random","Random",0.6,0.700773349196907
"ring","Ring-shaped source",16,"random","Random",0.7,0.762641284949435
"ring","Ring-shaped source",16,"random","Random",0.8,0.823319452706722
"ring","Ring-shaped source",16,"random","Random",0.9,0.885782272456871
"ring","Ring-shaped source",16,"random","Random",0.95,0.91017251635931
"ring","Ring-shaped source",16,"random","Random",0.975,0.925044616299821
"ring","Ring-shaped source",16,"random","Random",0.99,0.940511600237954
"ring","Ring-shaped source",16,"max_source_variance","Max source variance",0.5,0.58953004164188
"ring","Ring-shaped source",16,"max_source_variance","Max source variance",0.6,0.665080309339679
"ring","Ring-shaped source",16,"max_source_variance","Max source variance",0.7,0.732897085068412
"ring","Ring-shaped source",16,"max_source_variance","Max source variance",0.8,0.801903628792386
"ring","Ring-shaped source",16,"max_source_variance","Max source variance",0.9,0.876264128494944
"ring","Ring-shaped source",16,"max_source_variance","Max source variance",0.95,0.906603212373587
"ring","Ring-shaped source",16,"max_source_variance","Max source variance",0.975,0.916121356335515
"ring","Ring-shaped source",16,"max_source_variance","Max source variance",0.99,0.929208804283165
"ring","Ring-shaped source",16,"variance_times_gradient","Variance x |gradient mean|",0.5,0.66686496133254
"ring","Ring-shaped source",16,"variance_times_gradient","Variance x |gradient mean|",0.6,0.731707317073171
"ring","Ring-shaped source",16,"variance_times_gradient","Variance x |gradient mean|",0.7,0.794170136823319
"ring","Ring-shaped source",16,"variance_times_gradient","Variance x |gradient mean|",0.8,0.854253420582986
"ring","Ring-shaped source",16,"variance_times_gradient","Variance x |gradient mean|",0.9,0.893515764425937
"ring","Ring-shaped source",16,"variance_times_gradient","Variance x |gradient mean|",0.95,0.900059488399762
"ring","Ring-shaped source",16,"variance_times_gradient","Variance x |gradient mean|",0.975,0.906603212373587
"ring","Ring-shaped source",16,"variance_times_gradient","Variance x |gradient mean|",0.99,0.917906008328376
