"source","source_label","budget","method","label","nominal","empirical"
"spike","Hidden narrow spike",16,"uniform","Uniform",0.5,0.975014872099941
"spike","Hidden narrow spike",16,"uniform","Uniform",0.6,0.980963712076145
"spike","Hidden narrow spike",16,"uniform","Uniform",0.7,0.985722784057109
"spike","Hidden narrow spike",16,"uniform","Uniform",0.8,0.985722784057109
"spike","Hidden narrow spike",16,"uniform","Uniform",0.9,0.988102320047591
"spike","Hidden narrow spike",16,"uniform","Uniform",0.95,0.990481856038073
"spike","Hidden narrow spike",16,"uniform","Uniform",0.975,0.990481856038073
"spike","Hidden narrow spike",16,"uniform","Uniform",0.99,0.990481856038073
"spike","Hidden narrow spike",16,"random","Random",0.5,0.96192742415229
"spike","Hidden narrow spike",16,"random","Random",0.6,0.979773944080904
"spike","Hidden narrow spike",16,"random","Random",0.7,0.985127900059488
"spike","Hidden narrow spike",16,"random","Random",0.8,0.98750743604997
"spike","Hidden narrow spike",16,"random","Random",0.9,0.988697204045211
"spike","Hidden narrow spike",16,"random","Random",0.95,0.990481856038073
"spike","Hidden narrow spike",16,"random","Random",0.975,0.990481856038073
"spike","Hidden narrow spike",16,"random","Random",0.99,0.991076740035693
"spike","Hidden narrow spike",16,"max_source_variance","Max source variance",0.5,0.976204640095181
"spike","Hidden narrow spike",16,"max_source_variance","Max source variance",0.6,0.982153480071386
"spike","Hidden narrow spike",16,"max_source_variance","Max source variance",0.7,0.984533016061868
"spike","Hidden narrow spike",16,"max_source_variance","Max source variance",0.8,0.985722784057109
"spike","Hidden narrow spike",16,"max_source_variance","Max source variance",0.9,0.988102320047591
"spike","Hidden narrow spike",16,"max_source_variance","Max source variance",0.95,0.989886972040452
"spike","Hidden narrow spike",16,"max_source_variance","Max source variance",0.975,0.990481856038073
"spike","Hidden narrow spike",16,"max_source_variance","Max source variance",0.99,0.990481856038073
"spike","Hidden narrow spike",16,"variance_times_gradient","Variance x |gradient mean|",0.5,0.970255800118977
"spike","Hidden narrow spike",16,"variance_times_gradient","Variance x |gradient mean|",0.6,0.977989292088043
"spike","Hidden narrow spike",16,"variance_times_gradient","Variance x |gradient mean|",0.7,0.983343248066627
"spike","Hidden narrow spike",16,"variance_times_gradient","Variance x |gradient mean|",0.8,0.986317668054729
"spike","Hidden narrow spike",16,"variance_times_gradient","Variance x |gradient mean|",0.9,0.989886972040452
"spike","Hidden narrow spike",16,"variance_times_gradient","Variance x |gradient mean|",0.95,0.991076740035693
"spike","Hidden narrow spike",16,"variance_times_gradient","Variance x |gradient mean|",0.975,0.991076740035693
"spike","Hidden narrow spike",16,"variance_times_gradient","Variance x |gradient mean|",0.99,0.992266508030934
