"source","hyper_method","kernel","nominal","empirical"
"spike","multistart_eb","rbf",0.5,0.812611540749554
"spike","multistart_eb","rbf",0.6,0.843545508625818
"spike","multistart_eb","rbf",0.7,0.869720404521118
"spike","multistart_eb","rbf",0.8,0.894705532421178
"spike","multistart_eb","rbf",0.9,0.917906008328376
"spike","multistart_eb","rbf",0.95,0.933372992266508
"spike","multistart_eb","rbf",0.975,0.941106484235574
"spike","multistart_eb","rbf",0.99,0.949434860202261
"spike","multistart_eb","matern05",0.5,0.92325996430696
"spike","multistart_eb","matern05",0.6,0.93575252825699
"spike","multistart_eb","matern05",0.7,0.944675788221297
"spike","multistart_eb","matern05",0.8,0.954788816180845
"spike","multistart_eb","matern05",0.9,0.966091612135634
"spike","multistart_eb","matern05",0.95,0.972040452111838
"spike","multistart_eb","matern05",0.975,0.976204640095181
"spike","multistart_eb","matern05",0.99,0.982153480071386
"spike","multistart_eb","matern15",0.5,0.861986912552052
"spike","multistart_eb","matern15",0.6,0.894110648423557
"spike","multistart_eb","matern15",0.7,0.917311124330755
"spike","multistart_eb","matern15",0.8,0.933967876264128
"spike","multistart_eb","matern15",0.9,0.94824509220702
"spike","multistart_eb","matern15",0.95,0.957168352171327
"spike","multistart_eb","matern15",0.975,0.962522308149911
"spike","multistart_eb","matern15",0.99,0.966686496133254
"spike","multistart_eb","matern25",0.5,0.848304580606782
"spike","multistart_eb","matern25",0.6,0.8720999405116
"spike","multistart_eb","matern25",0.7,0.902439024390244
"spike","multistart_eb","matern25",0.8,0.92266508030934
"spike","multistart_eb","matern25",0.9,0.938726948245092
"spike","multistart_eb","matern25",0.95,0.950624628197501
"spike","multistart_eb","matern25",0.975,0.957763236168947
"spike","multistart_eb","matern25",0.99,0.96192742415229
"spike","map","rbf",0.5,0.82034503271862
"spike","map","rbf",0.6,0.847114812611541
"spike","map","rbf",0.7,0.869125520523498
"spike","map","rbf",0.8,0.895895300416419
"spike","map","rbf",0.9,0.917906008328376
"spike","map","rbf",0.95,0.930993456276026
"spike","map","rbf",0.975,0.939321832242713
"spike","map","rbf",0.99,0.94824509220702
"spike","map","matern05",0.5,0.923854848304581
"spike","map","matern05",0.6,0.933967876264128
"spike","map","matern05",0.7,0.942891136228435
"spike","map","matern05",0.8,0.951814396192742
"spike","map","matern05",0.9,0.965496728138013
"spike","map","matern05",0.95,0.971445568114218
"spike","map","matern05",0.975,0.975014872099941
"spike","map","matern05",0.99,0.982153480071386
"spike","map","matern15",0.5,0.863771564544914
"spike","map","matern15",0.6,0.894705532421178
"spike","map","matern15",0.7,0.916121356335515
"spike","map","matern15",0.8,0.932778108268888
"spike","map","matern15",0.9,0.947650208209399
"spike","map","matern15",0.95,0.955978584176086
"spike","map","matern15",0.975,0.96192742415229
"spike","map","matern15",0.99,0.966686496133254
"spike","map","matern25",0.5,0.850089232599643
"spike","map","matern25",0.6,0.873884592504462
"spike","map","matern25",0.7,0.900654372397383
"spike","map","matern25",0.8,0.920285544318858
"spike","map","matern25",0.9,0.938726948245092
"spike","map","matern25",0.95,0.950029744199881
"spike","map","matern25",0.975,0.954788816180845
"spike","map","matern25",0.99,0.960142772159429
"broad_plus_sharp","multistart_eb","rbf",0.5,0.499107674003569
"broad_plus_sharp","multistart_eb","rbf",0.6,0.601427721594289
"broad_plus_sharp","multistart_eb","rbf",0.7,0.70553242117787
"broad_plus_sharp","multistart_eb","rbf",0.8,0.802498512790006
"broad_plus_sharp","multistart_eb","rbf",0.9,0.885782272456871
"broad_plus_sharp","multistart_eb","rbf",0.95,0.904818560380726
"broad_plus_sharp","multistart_eb","rbf",0.975,0.911957168352171
"broad_plus_sharp","multistart_eb","rbf",0.99,0.922070196311719
"broad_plus_sharp","multistart_eb","matern05",0.5,0.829268292682927
"broad_plus_sharp","multistart_eb","matern05",0.6,0.895300416418798
"broad_plus_sharp","multistart_eb","matern05",0.7,0.942296252230815
"broad_plus_sharp","multistart_eb","matern05",0.8,0.96133254015467
"broad_plus_sharp","multistart_eb","matern05",0.9,0.983343248066627
"broad_plus_sharp","multistart_eb","matern05",0.95,0.989886972040452
"broad_plus_sharp","multistart_eb","matern05",0.975,0.992266508030934
"broad_plus_sharp","multistart_eb","matern05",0.99,0.992266508030934
"broad_plus_sharp","multistart_eb","matern15",0.5,0.707911957168352
"broad_plus_sharp","multistart_eb","matern15",0.6,0.78167757287329
"broad_plus_sharp","multistart_eb","matern15",0.7,0.850684116597264
"broad_plus_sharp","multistart_eb","matern15",0.8,0.908387864366449
"broad_plus_sharp","multistart_eb","matern15",0.9,0.93634741225461
"broad_plus_sharp","multistart_eb","matern15",0.95,0.942296252230815
"broad_plus_sharp","multistart_eb","matern15",0.975,0.953599048185604
"broad_plus_sharp","multistart_eb","matern15",0.99,0.963712076145152
