"source","source_label","hyper_method","kernel","kernel_label","RMSE","MAE","Coverage95","CalibrationMAE","CRPS","NLPD"
"spike","Hidden narrow spike","multistart_eb","rbf","RBF",0.0447696704627387,0.0139391241902729,0.933372992266508,0.116196832242713,0.013309270221509,-0.161191526515154
"spike","Hidden narrow spike","multistart_eb","matern05","Matern 0.5",0.0458993396858131,0.0124195158733159,0.972040452111838,0.15695754015467,0.0154417045552953,-1.62126629857641
"spike","Hidden narrow spike","multistart_eb","matern15","Matern 1.5",0.0449224506237553,0.0134587055660901,0.957168352171327,0.137322650208209,0.0141153540828784,-1.34040265229035
"spike","Hidden narrow spike","multistart_eb","matern25","Matern 2.5",0.044808537803522,0.0136792735363396,0.950624628197501,0.128771192742415,0.013781651059166,-1.08244119154437
"spike","Hidden narrow spike","map","rbf","RBF",0.0451492581629529,0.0140100024073683,0.930993456276026,0.118353286734087,0.0133458044226243,0.0194039804882057
"spike","Hidden narrow spike","map","matern05","Matern 0.5",0.0459974164173635,0.0125367026086142,0.971445568114218,0.155916493158834,0.0155525091617063,-1.61409456141253
"spike","Hidden narrow spike","map","matern15","Matern 1.5",0.0451431981534137,0.0134999015624086,0.955978584176086,0.137173929208804,0.0141628084131416,-1.30336134162088
"spike","Hidden narrow spike","map","matern25","Matern 2.5",0.0450738339952214,0.0137160390778155,0.950029744199881,0.129217355740631,0.013814296439672,-1.01647860391244
"broad_plus_sharp","Broad plus sharp","multistart_eb","rbf","RBF",0.0664020182217026,0.0308300374697151,0.904818560380726,0.0250903480071386,0.0243061779062161,1.32375733992433
"broad_plus_sharp","Broad plus sharp","multistart_eb","matern05","Matern 0.5",0.0625401263679545,0.0349174896110363,0.989886972040452,0.14637009220702,0.0307134752506185,-1.23925050062816
"broad_plus_sharp","Broad plus sharp","multistart_eb","matern15","Matern 1.5",0.0632021646275419,0.029686915466707,0.942296252230815,0.0925501933372992,0.0243731790394786,-0.89043756674941
"broad_plus_sharp","Broad plus sharp","multistart_eb","matern25","Matern 2.5",0.0642199071291213,0.0293580676179226,0.926234384295062,0.0764883254015467,0.0237613498008684,-0.33830484158949
"broad_plus_sharp","Broad plus sharp","map","rbf","RBF",0.0669303060674715,0.0316244002961744,0.904818560380726,0.0322438280785247,0.0247871332343053,1.42478849733945
"broad_plus_sharp","Broad plus sharp","map","matern05","Matern 0.5",0.061938564098176,0.0334758870582788,0.989886972040452,0.152616374182034,0.0304050172922601,-1.23826848513206
"broad_plus_sharp","Broad plus sharp","map","matern15","Matern 1.5",0.0635519955182673,0.0302123921337018,0.942891136228435,0.0906168203450327,0.0247088611345186,-0.890708129421665
"broad_plus_sharp","Broad plus sharp","map","matern25","Matern 2.5",0.0646470809162167,0.0299497777711155,0.925639500297442,0.0732164634146341,0.0241077135642161,-0.303071521635939
"dipole","Positive-negative dipole","multistart_eb","rbf","RBF",0.0378730583394457,0.0237937492291474,0.957763236168947,0.103562983343248,0.0212932422130281,-1.4449973540575
"dipole","Positive-negative dipole","multistart_eb","matern05","Matern 0.5",0.0419298661146876,0.0217450471885538,0.991671624033314,0.178419467578822,0.0341130688219785,-1.10825760787315
"dipole","Positive-negative dipole","multistart_eb","matern15","Matern 1.5",0.0357238661027063,0.0206813948143172,0.982153480071386,0.164319229625223,0.0244498826928613,-1.48768488456484
"dipole","Positive-negative dipole","multistart_eb","matern25","Matern 2.5",0.0358566074666912,0.0213075506204571,0.979773944080904,0.150711258179655,0.0226404536413413,-1.56774411769182
"dipole","Positive-negative dipole","map","rbf","RBF",0.0384102933066502,0.023355401242843,0.96192742415229,0.114940139797739,0.0213074564938538,-1.53093148441645
"dipole","Positive-negative dipole","map","matern05","Matern 0.5",0.0424137185873684,0.0219359549662762,0.991671624033314,0.177898944080904,0.0342472229857882,-1.10566944947444
"dipole","Positive-negative dipole","map","matern15","Matern 1.5",0.0364805605636402,0.0206490629946019,0.981558596073766,0.164691032123736,0.0245817491631025,-1.48229590712436
"dipole","Positive-negative dipole","map","matern25","Matern 2.5",0.0365944120921844,0.0211387627905378,0.979773944080904,0.151901026174896,0.0227698624004828,-1.56274108487738
"ring","Ring-shaped source","multistart_eb","rbf","RBF",0.162060958098435,0.105155056706945,0.703747769185009,0.155087373587151,0.0892339943825597,1.88625846395108
"ring","Ring-shaped source","multistart_eb","matern05","Matern 0.5",0.161879262179683,0.101781180726053,0.894705532421178,0.066583506841166,0.0852630067636401,-0.343199620898324
