"eta","method","nominal","empirical_mean","empirical_mcse","empirical_q025","empirical_q975"
0.001,"Matern 0.5",0.5,0.838687289311917,0.000663191946635515,0.833551457465794,0.843984235574063
0.01,"Matern 0.5",0.5,0.799910767400357,0.00303037205017557,0.774739738251041,0.82065734681737
0.1,"Matern 0.5",0.5,0.733744794765021,0.00992002185001813,0.648061669641087,0.790960241919492
0.001,"Matern 1.5",0.5,0.677855443188578,0.00116585572845098,0.669368431489193,0.686972040452112
0.01,"Matern 1.5",0.5,0.664425936942296,0.0046157226812715,0.632312115804085,0.706419789807654
0.1,"Matern 1.5",0.5,0.598939123537577,0.0111805324970797,0.496004362482649,0.668607475708903
0.001,"Matern 2.5",0.5,0.629942494546897,0.000782850982683021,0.623527662105889,0.63546995835812
0.01,"Matern 2.5",0.5,0.621420781280984,0.00463277866317589,0.589453202458854,0.659141384096768
0.1,"Matern 2.5",0.5,0.560390640491771,0.0112689222691859,0.460707911957168,0.636300317271465
0.001,"RBF",0.5,0.571762839579615,0.00123350641058691,0.564128494943486,0.583876164981162
0.01,"RBF",0.5,0.545617687884196,0.00496913503418683,0.507411263137022,0.584813107277414
0.1,"RBF",0.5,0.499395201269086,0.0113007677383786,0.402391929407099,0.577503470156653
0.001,"Matern 0.5",0.6,0.870166567519334,0.000445466684098912,0.865935455086258,0.872647729526076
0.01,"Matern 0.5",0.6,0.847070196311719,0.00283101274787601,0.825951814396193,0.86521911560579
0.1,"Matern 0.5",0.6,0.800133848899465,0.00921469133622224,0.724638112234781,0.856461927424152
0.001,"Matern 1.5",0.6,0.71957664088836,0.00138390557338414,0.708400257783066,0.729360003965893
0.01,"Matern 1.5",0.6,0.726041046995836,0.00413491412151755,0.692209498314496,0.760031231409875
0.1,"Matern 1.5",0.6,0.674920682133651,0.0109568696399899,0.571430696014277,0.744088340273646
0.001,"Matern 2.5",0.6,0.660732698790403,0.00103185642101869,0.653276819353559,0.669009022407297
0.01,"Matern 2.5",0.6,0.683249058100337,0.00456527798851326,0.650156157049375,0.717811818362086
0.1,"Matern 2.5",0.6,0.636287923854848,0.011270218060517,0.529744199881023,0.714572179258378
0.001,"RBF",0.6,0.60755502676978,0.00134369906790895,0.599134939520127,0.619782371604204
0.01,"RBF",0.6,0.606499107674004,0.00468410623204388,0.571690957763236,0.640489292088043
