"source","source_label","hyper_method","hyper_label","kernel","label","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD"
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","rbf","RBF",0.0581672056086817,0.014713456761268,0.991671624033314,0.479609820107912,0.182286213563355,0.0340492196603416,-1.06820132594876
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0567764493534587,0.0135205873918425,0.992266508030934,0.472050762684311,0.185706796549673,0.0330754554363499,-1.08694879506801
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0573842385560889,0.0142066560095273,0.991671624033314,0.478116792671808,0.183996505056514,0.0336699164930011,-1.07406722240326
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0576437175767627,0.0143970743369362,0.991671624033314,0.479167340740846,0.183699063057704,0.0338239571600278,-1.07121429318365
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","rbf","RBF",0.113118293840318,0.0800379434764277,0.988102320047591,0.588490229262704,0.102274315883403,0.0614908644401236,-0.653774186258748
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.1152162729526,0.0846528723773088,0.995240928019036,1.03741167358469,0.177750223081499,0.0798651921569823,-0.313632939905072
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.114505741830659,0.0828827195208901,0.992266508030934,0.750086047045677,0.142354625223082,0.0677202184407933,-0.545226231869017
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.113749396761689,0.0816488674194103,0.991076740035693,0.683643124861519,0.129118456276026,0.0649932422155116,-0.597646179295015
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","rbf","RBF",0.101775366651496,0.0814853481644098,0.978584176085663,0.53608595993054,0.0733480814991077,0.0598995152522447,-0.762021818372611
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.105565577826645,0.0820530114631356,0.998810232004759,1.05430611730605,0.174180919095776,0.0793127893622221,-0.310907055387706
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.107349156963686,0.0863044483542304,0.997620464009518,0.775890832546267,0.135364738251041,0.0691637449558158,-0.53681577315373
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.106253669356595,0.0856957980239625,0.992861392028554,0.689295221888257,0.115436124330755,0.0660021588859097,-0.615139215124051
"ring","Ring-shaped source","multistart_eb","Multi-start EB","rbf","RBF",0.240846588625852,0.183298915682451,0.302795954788816,0.176258872171604,0.576785767400357,0.162087855349157,35.5297765467396
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.243414160216868,0.189136515466337,0.584176085663296,0.328356604855678,0.403079640095181,0.150057891243648,3.84879763629779
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.242316730191467,0.186683019732775,0.367638310529447,0.224332619262312,0.540349122546103,0.158829261157883,13.9410510365056
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.24186411253195,0.185646988455893,0.339083878643664,0.20274778103085,0.561095701963117,0.160582867517951,20.3549190712159
"edge","Moving-edge source","multistart_eb","Multi-start EB","rbf","RBF",0.282176102751538,0.225912838914223,0.537180249851279,0.393312181805037,0.38240742117787,0.186772373851385,8.58225077801227
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.29694505699174,0.231874711458205,0.945865556216538,1.22671443063389,0.0104911511005354,0.168879903617684,0.225426778520196
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.284428738872167,0.226960212816419,0.689470553242118,0.615719029966506,0.240304506246282,0.175598609179252,1.72117514656744
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.282697011618749,0.225585954300708,0.635336109458656,0.495788840153063,0.309385410469958,0.180831897059924,4.01046278508771
"sine","Sine-cosine source","multistart_eb","Multi-start EB","rbf","RBF",0.165083658513409,0.130541874521421,1,0.794181079647328,0.0745378494943486,0.0902127908390757,-0.450474813150909
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.235921363730264,0.182127956851899,1,1.96146714966638,0.166298706127305,0.157613438658838,0.327150858180958
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.203856263031545,0.157171774852961,1,1.22677989838292,0.123243976799524,0.118168394167831,-0.0738824696463412
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.190601194643069,0.147522991811366,1,1.04753443247254,0.109338563355146,0.107250384704128,-0.2106419882166
