"source","hyper_method","kernel","label","nominal","empirical","mean_width"
"spike","multistart_eb","rbf","RBF",0.5,0.957763236168947,0.149547694186442
"spike","multistart_eb","rbf","RBF",0.6,0.975609756097561,0.186604043756912
"spike","multistart_eb","rbf","RBF",0.7,0.980963712076145,0.229797744934709
"spike","multistart_eb","rbf","RBF",0.8,0.98750743604997,0.284145283975782
"spike","multistart_eb","rbf","RBF",0.9,0.991671624033314,0.364696523725213
"spike","multistart_eb","rbf","RBF",0.95,0.992266508030934,0.434562711280974
"spike","multistart_eb","rbf","RBF",0.975,0.992266508030934,0.496963237112315
"spike","multistart_eb","rbf","RBF",0.99,0.994051160023795,0.571112211640906
"spike","multistart_eb","matern05","Matern 0.5",0.5,0.981558596073766,0.160455879165636
"spike","multistart_eb","matern05","Matern 0.5",0.6,0.984533016061868,0.200215162525673
"spike","multistart_eb","matern05","Matern 0.5",0.7,0.985127900059488,0.246559463148995
"spike","multistart_eb","matern05","Matern 0.5",0.8,0.98750743604997,0.304871175708417
"spike","multistart_eb","matern05","Matern 0.5",0.9,0.989292088042832,0.391297917773482
"spike","multistart_eb","matern05","Matern 0.5",0.95,0.992266508030934,0.466260227351019
"spike","multistart_eb","matern05","Matern 0.5",0.975,0.992266508030934,0.533212321043504
"spike","multistart_eb","matern05","Matern 0.5",0.99,0.992861392028554,0.612769809120736
"spike","multistart_eb","matern15","Matern 1.5",0.5,0.977394408090422,0.162442750188639
"spike","multistart_eb","matern15","Matern 1.5",0.6,0.983938132064248,0.202694359341998
"spike","multistart_eb","matern15","Matern 1.5",0.7,0.985722784057109,0.249612525806003
"spike","multistart_eb","matern15","Matern 1.5",0.8,0.98750743604997,0.308646292630986
"spike","multistart_eb","matern15","Matern 1.5",0.9,0.989886972040452,0.396143227887567
"spike","multistart_eb","matern15","Matern 1.5",0.95,0.992266508030934,0.472033770456574
"spike","multistart_eb","matern15","Matern 1.5",0.975,0.992266508030934,0.539814909339418
"spike","multistart_eb","matern15","Matern 1.5",0.99,0.992861392028554,0.62035753095333
"spike","multistart_eb","matern25","Matern 2.5",0.5,0.9738251041047,0.1606102499735
"spike","multistart_eb","matern25","Matern 2.5",0.6,0.981558596073766,0.200407784800073
"spike","multistart_eb","matern25","Matern 2.5",0.7,0.98750743604997,0.246796672179358
"spike","multistart_eb","matern25","Matern 2.5",0.8,0.988697204045211,0.305164485058834
"spike","multistart_eb","matern25","Matern 2.5",0.9,0.990481856038073,0.391674376249148
"spike","multistart_eb","matern25","Matern 2.5",0.95,0.992266508030934,0.466708805292478
"spike","multistart_eb","matern25","Matern 2.5",0.975,0.992266508030934,0.53372531201143
"spike","multistart_eb","matern25","Matern 2.5",0.99,0.992861392028554,0.613359340467052
"mixture","multistart_eb","rbf","RBF",0.5,0.35930993456276,0.10747931702489
"mixture","multistart_eb","rbf","RBF",0.6,0.434860202260559,0.134111564114599
"mixture","multistart_eb","rbf","RBF",0.7,0.521118381915527,0.165154700738151
"mixture","multistart_eb","rbf","RBF",0.8,0.604997025580012,0.204214055079219
"mixture","multistart_eb","rbf","RBF",0.9,0.690065437239738,0.262105902097493
"mixture","multistart_eb","rbf","RBF",0.95,0.759666864961333,0.312318445744366
"mixture","multistart_eb","rbf","RBF",0.975,0.803093396787626,0.357165448801365
"mixture","multistart_eb","rbf","RBF",0.99,0.856038072575848,0.410456013953733
"mixture","multistart_eb","matern05","Matern 0.5",0.5,0.647828673408685,0.269628329916888
"mixture","multistart_eb","matern05","Matern 0.5",0.6,0.728138013087448,0.33643940113973
"mixture","multistart_eb","matern05","Matern 0.5",0.7,0.826888756692445,0.414315864396857
"mixture","multistart_eb","matern05","Matern 0.5",0.8,0.933967876264128,0.512302237683687
"mixture","multistart_eb","matern05","Matern 0.5",0.9,0.983938132064248,0.657532803521077
"mixture","multistart_eb","matern05","Matern 0.5",0.95,0.992861392028554,0.783498660572905
"mixture","multistart_eb","matern05","Matern 0.5",0.975,0.994646044021416,0.896004237187576
"mixture","multistart_eb","matern05","Matern 0.5",0.99,0.995240928019036,1.02969178266233
"mixture","multistart_eb","matern15","Matern 1.5",0.5,0.506841165972635,0.17086234248614
"mixture","multistart_eb","matern15","Matern 1.5",0.6,0.578227245687091,0.213200238272766
"mixture","multistart_eb","matern15","Matern 1.5",0.7,0.660916121356335,0.262550226609489
"mixture","multistart_eb","matern15","Matern 1.5",0.8,0.749553837001785,0.324643780638733
"mixture","multistart_eb","matern15","Matern 1.5",0.9,0.866151100535396,0.416675781457093
"mixture","multistart_eb","matern15","Matern 1.5",0.95,0.945270672218917,0.496499817068573
"mixture","multistart_eb","matern15","Matern 1.5",0.975,0.979179060083284,0.567794129387541
"mixture","multistart_eb","matern15","Matern 1.5",0.99,0.991671624033314,0.652511366586167
"mixture","multistart_eb","matern25","Matern 2.5",0.5,0.463414634146341,0.145719740328057
"mixture","multistart_eb","matern25","Matern 2.5",0.6,0.536585365853659,0.181827563095171
"mixture","multistart_eb","matern25","Matern 2.5",0.7,0.611540749553837,0.223915640438506
