"source","hyper_method","kernel","convergence","runtime_seconds","log_marginal","log_prior","log_target","laplace_log_evidence","min_hessian_eigenvalue","regularised_hessian_eigenvalues"
"spike","multistart_eb","rbf",0,2.8,330.240870076175,NA,330.240870076175,NA,NA,NA
"spike","multistart_eb","matern05",0,2.84,330.051226226457,NA,330.051226226457,NA,NA,NA
"spike","multistart_eb","matern15",0,5.31,330.127976420222,NA,330.127976420222,NA,NA,NA
"spike","multistart_eb","matern25",0,7.09,330.15701128274,NA,330.15701128274,NA,NA,NA
"mixture","multistart_eb","rbf",0,4.15,216.652470260478,NA,216.652470260478,NA,NA,NA
"mixture","multistart_eb","matern05",0,4.89,215.939100171379,NA,215.939100171379,NA,NA,NA
"mixture","multistart_eb","matern15",0,4.98,216.265349551376,NA,216.265349551376,NA,NA,NA
"mixture","multistart_eb","matern25",0,5.3,216.39499657919,NA,216.39499657919,NA,NA,NA
"dipole","multistart_eb","rbf",0,5.53,268.925880560593,NA,268.925880560593,NA,NA,NA
"dipole","multistart_eb","matern05",0,6.66,268.623593279758,NA,268.623593279758,NA,NA,NA
"dipole","multistart_eb","matern15",0,5.28,268.744145901582,NA,268.744145901582,NA,NA,NA
"dipole","multistart_eb","matern25",0,5.04,268.789317325558,NA,268.789317325558,NA,NA,NA
"ring","multistart_eb","rbf",0,4.12,231.505127062863,NA,231.505127062863,NA,NA,NA
"ring","multistart_eb","matern05",0,5.29000000000001,230.895904815653,NA,230.895904815653,NA,NA,NA
"ring","multistart_eb","matern15",0,5.61,231.117572744481,NA,231.117572744481,NA,NA,NA
"ring","multistart_eb","matern25",0,5.06,231.224110697906,NA,231.224110697906,NA,NA,NA
"edge","multistart_eb","rbf",0,6.47999999999999,176.194875251841,NA,176.194875251841,NA,NA,NA
"edge","multistart_eb","matern05",0,5.14999999999999,175.972524189911,NA,175.972524189911,NA,NA,NA
"edge","multistart_eb","matern15",0,5.22,176.066419456455,NA,176.066419456455,NA,NA,NA
"edge","multistart_eb","matern25",0,5.42,176.09900478911,NA,176.09900478911,NA,NA,NA
"sine","multistart_eb","rbf",0,16.39,198.252768428071,NA,198.252768428071,NA,NA,NA
"sine","multistart_eb","matern05",0,13.88,198.235444193873,NA,198.235444193873,NA,NA,NA
"sine","multistart_eb","matern15",0,15.62,198.242921435207,NA,198.242921435207,NA,NA,NA
"sine","multistart_eb","matern25",0,15.17,198.245535567959,NA,198.245535567959,NA,NA,NA
