"source","hyper_method","kernel","parameter","optimizer_value","natural_parameter","natural_value"
"spike","multistart_eb","rbf","log_ell",-2.62478122406258,"ell",0.072455606843718
"spike","multistart_eb","rbf","log_sigma_f",-3.11148345543736,"sigma_f",0.0445348408616295
"spike","multistart_eb","rbf","log_sigma_n",-17.6191689896438,"sigma_n",2.22890794398885e-08
"spike","multistart_eb","matern05","log_ell",-2.6544991370599,"ell",0.0703340575674335
"spike","multistart_eb","matern05","log_sigma_f",-2.96363992678132,"sigma_f",0.0516306429683608
"spike","multistart_eb","matern05","log_sigma_n",-16.9043888224779,"sigma_n",4.55530241996208e-08
"spike","multistart_eb","matern15","log_ell",-2.6212981960435,"ell",0.0727084117602236
"spike","multistart_eb","matern15","log_sigma_f",-3.04293284758977,"sigma_f",0.0476948025810355
"spike","multistart_eb","matern15","log_sigma_n",-16.59879526945,"sigma_n",6.18350630904291e-08
"spike","multistart_eb","matern25","log_ell",-2.61683836176064,"ell",0.0730334033933811
"spike","multistart_eb","matern25","log_sigma_f",-3.06762723067009,"sigma_f",0.0465314323296993
"spike","multistart_eb","matern25","log_sigma_n",-16.627756780028,"sigma_n",6.00699103790112e-08
"mixture","multistart_eb","rbf","log_ell",-1.56017718628076,"ell",0.210098841270268
"mixture","multistart_eb","rbf","log_sigma_f",-1.68418060741304,"sigma_f",0.185596446019901
"mixture","multistart_eb","rbf","log_sigma_n",-8.68410759743998,"sigma_n",0.000169254408805297
"mixture","multistart_eb","matern05","log_ell",-0.941029663050122,"ell",0.390225827312036
"mixture","multistart_eb","matern05","log_sigma_f",-1.61980042601088,"sigma_f",0.197938198457825
"mixture","multistart_eb","matern05","log_sigma_n",-9.89282117530574,"sigma_n",5.05361732913812e-05
"mixture","multistart_eb","matern15","log_ell",-1.22939211447987,"ell",0.292470312122097
"mixture","multistart_eb","matern15","log_sigma_f",-1.64459450094722,"sigma_f",0.193090845075773
"mixture","multistart_eb","matern15","log_sigma_n",-8.90932773025131,"sigma_n",0.000135122642326273
"mixture","multistart_eb","matern25","log_ell",-1.34063887653929,"ell",0.261678434952263
"mixture","multistart_eb","matern25","log_sigma_f",-1.65590103891752,"sigma_f",0.190919951874214
"mixture","multistart_eb","matern25","log_sigma_n",-8.80933916340793,"sigma_n",0.000149331907327689
"dipole","multistart_eb","rbf","log_ell",-2.29841806317597,"ell",0.100417572395888
"dipole","multistart_eb","rbf","log_sigma_f",-1.79661196066047,"sigma_f",0.165859877147312
"dipole","multistart_eb","rbf","log_sigma_n",-16.6605660433181,"sigma_n",5.81310412289456e-08
"dipole","multistart_eb","matern05","log_ell",-2.16168163069375,"ell",0.115131349746304
"dipole","multistart_eb","matern05","log_sigma_f",-1.66105454300895,"sigma_f",0.189938576055241
"dipole","multistart_eb","matern05","log_sigma_n",-15.9298064565534,"sigma_n",1.20718257532057e-07
"dipole","multistart_eb","matern15","log_ell",-2.17375824904824,"ell",0.113749314328764
"dipole","multistart_eb","matern15","log_sigma_f",-1.74162641573768,"sigma_f",0.175235163495097
"dipole","multistart_eb","matern15","log_sigma_n",-16.2492544714126,"sigma_n",8.77078465328511e-08
"dipole","multistart_eb","matern25","log_ell",-2.20012456072304,"ell",0.110789357500354
"dipole","multistart_eb","matern25","log_sigma_f",-1.76152551309064,"sigma_f",0.171782607219912
"dipole","multistart_eb","matern25","log_sigma_n",-16.4414785211287,"sigma_n",7.23696719431662e-08
"ring","multistart_eb","rbf","log_ell",-2.11312553681423,"ell",0.120859624275185
"ring","multistart_eb","rbf","log_sigma_f",-1.5596851359007,"sigma_f",0.21020224592303
"ring","multistart_eb","rbf","log_sigma_n",-8.1562097446442,"sigma_n",0.000286947942221695
"ring","multistart_eb","matern05","log_ell",-1.90855389944419,"ell",0.148294680632842
"ring","multistart_eb","matern05","log_sigma_f",-1.41929020136544,"sigma_f",0.241885646080057
"ring","multistart_eb","matern05","log_sigma_n",-8.48592862012138,"sigma_n",0.000206351688289209
"ring","multistart_eb","matern15","log_ell",-1.99692774111548,"ell",0.135751707617132
"ring","multistart_eb","matern15","log_sigma_f",-1.5129354535524,"sigma_f",0.220262457827421
"ring","multistart_eb","matern15","log_sigma_n",-8.25561223073746,"sigma_n",0.000259796420757539
"ring","multistart_eb","matern25","log_ell",-2.03097429591048,"ell",0.131207623802385
"ring","multistart_eb","matern25","log_sigma_f",-1.53422577670669,"sigma_f",0.215622566575598
"ring","multistart_eb","matern25","log_sigma_n",-8.21292389870792,"sigma_n",0.000271126813861955
"edge","multistart_eb","rbf","log_ell",-1.6404850845154,"ell",0.19388596839482
"edge","multistart_eb","rbf","log_sigma_f",-0.695750179822854,"sigma_f",0.498700192801051
"edge","multistart_eb","rbf","log_sigma_n",-8.0040007234522,"sigma_n",0.000334123215794969
"edge","multistart_eb","matern05","log_ell",0.0214604229010048,"ell",1.02169235391778
"edge","multistart_eb","matern05","log_sigma_f",-0.466474068102698,"sigma_f",0.627209873361793
"edge","multistart_eb","matern05","log_sigma_n",-8.7370481768248,"sigma_n",0.000160527036667334
"edge","multistart_eb","matern15","log_ell",-1.04452597762202,"ell",0.351858568688935
"edge","multistart_eb","matern15","log_sigma_f",-0.61549293492249,"sigma_f",0.540374460204471
"edge","multistart_eb","matern15","log_sigma_n",-8.19928238256996,"sigma_n",0.000274850736897928
"edge","multistart_eb","matern25","log_ell",-1.2778490102281,"ell",0.278635999509612
"edge","multistart_eb","matern25","log_sigma_f",-0.652047617064863,"sigma_f",0.52097792057326
"edge","multistart_eb","matern25","log_sigma_n",-8.12229989990864,"sigma_n",0.000296845160594516
"sine","multistart_eb","rbf","log_ell",-1.11087378548406,"ell",0.329271123011535
"sine","multistart_eb","rbf","log_sigma_f",-0.520638068319441,"sigma_f",0.594141324241467
"sine","multistart_eb","rbf","log_sigma_n",-10.5048617258737,"sigma_n",2.74028995856986e-05
"sine","multistart_eb","matern05","log_ell",0.182321556793955,"ell",1.2
"sine","multistart_eb","matern05","log_sigma_f",-0.607089037103144,"sigma_f",0.544934847627234
"sine","multistart_eb","matern05","log_sigma_n",-15.0766773928418,"sigma_n",2.83323242111421e-07
"sine","multistart_eb","matern15","log_ell",-0.0347679065285871,"ell",0.96582955297997
"sine","multistart_eb","matern15","log_sigma_f",-0.0444273419539936,"sigma_f",0.956545098266547
"sine","multistart_eb","matern15","log_sigma_n",-15.0766773928418,"sigma_n",2.83323242111421e-07
"sine","multistart_eb","matern25","log_ell",-0.465359265778804,"ell",0.627909478274322
"sine","multistart_eb","matern25","log_sigma_f",-0.115943236618613,"sigma_f",0.890525771116807
"sine","multistart_eb","matern25","log_sigma_n",-12.2170416805607,"sigma_n",4.94545452735431e-06
