"eta","method","repetitions","mean_delta_RMSE","mcse","lower95","upper95"
0.001,"Matern 1.5",20,-0.00088843211244628,1.54150245136503e-05,-0.000920696129552643,-0.000856168095339916
0.001,"Matern 0.5",20,0,0,0,0
0.001,"Matern 2.5",20,0.000195680672032314,3.62102128582598e-05,0.000119891825504731,0.000271469518559897
0.001,"RBF",20,0.00282702801863899,0.000166555823618853,0.00247842267340294,0.00317563336387503
0.01,"Matern 1.5",20,-0.0022399567015207,0.000231104543639159,-0.00272366407044052,-0.00175624933260089
0.01,"Matern 2.5",20,-0.00208294397246394,0.000268142790070181,-0.00264417328209699,-0.0015217146628309
0.01,"RBF",20,-0.000179182041956776,0.000404306114159728,-0.00102540446423744,0.000667040380323887
0.01,"Matern 0.5",20,0,0,0,0
0.1,"RBF",20,-0.00461719112879227,0.0033524921588862,-0.0116340378595563,0.00239965560197179
0.1,"Matern 2.5",20,-0.000601821981717013,0.00177618483276261,-0.00431941956176435,0.00311577559833033
0.1,"Matern 1.5",20,-0.000431621058815417,0.00134551226207145,-0.00324781058883229,0.00238456847120146
0.1,"Matern 0.5",20,0,0,0,0
