"eta","replication","source","seed","source_label","method","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD","RMSE_reference","delta_RMSE"
0.001,1,"dipole",20261387,"Positive-negative dipole","RBF",0.034671095599966,0.0165470989841401,0.960737656157049,0.193526303099311,0.122376189767995,0.0188216393833509,-1.46079716706955,0.0404303160741465,-0.0057592204741805
0.001,1,"dipole",20261387,"Positive-negative dipole","Matern 0.5",0.0404303160741465,0.0162992169716845,0.990481856038073,0.476210690309742,0.177080978584176,0.0330914404304153,-1.13361130716008,0.0404303160741465,0
0.001,1,"dipole",20261387,"Positive-negative dipole","Matern 1.5",0.0328717408486437,0.0136986132191847,0.980963712076145,0.30238434881624,0.167962894110648,0.0227479744649741,-1.53807503518714,0.0404303160741465,-0.0075585752255028
0.001,1,"dipole",20261387,"Positive-negative dipole","Matern 2.5",0.0327771659680521,0.0141307149975965,0.979773944080904,0.25765701287652,0.155470330160619,0.0206632777956599,-1.62627594975024,0.0404303160741465,-0.0076531501060944
0.001,1,"edge",20261387,"Moving-edge source","RBF",0.186350318524082,0.122389566943726,0.719809637120761,0.268038123297867,0.206544839381321,0.101144304077574,4.41343365905763,0.166565010313387,0.019785308210695
0.001,1,"edge",20261387,"Moving-edge source","Matern 0.5",0.166565010313387,0.0972323686046807,0.899464604402142,0.576368925067103,0.0958071832242713,0.0827629340418399,-0.372385525701312,0.166565010313387,0
0.001,1,"edge",20261387,"Moving-edge source","Matern 1.5",0.175510944217479,0.107650525313706,0.809637120761452,0.339288147376533,0.0902450178465199,0.0881907584691499,0.862193599850676,0.166565010313387,0.00894593390409201
0.001,1,"edge",20261387,"Moving-edge source","Matern 2.5",0.179252013856681,0.112547140311491,0.787626412849494,0.30046074000795,0.131738176680547,0.0923385526527314,1.91251301609776,0.166565010313387,0.012687003543294
0.001,1,"mixture",20261387,"Broad plus sharp source","RBF",0.0630399187749572,0.0229758995212873,0.889946460440214,0.104663609121002,0.0886685752528257,0.0205450831555869,2.71289230050748,0.0482582640563194,0.0147816547186378
0.001,1,"mixture",20261387,"Broad plus sharp source","Matern 0.5",0.0482582640563194,0.0178565991311151,0.985127900059488,0.283033461171356,0.165332019631172,0.0232473517521426,-1.43823290144434,0.0482582640563194,0
0.001,1,"mixture",20261387,"Broad plus sharp source","Matern 1.5",0.0558574660183909,0.0186057938780581,0.938726948245092,0.153792266422761,0.126384220701963,0.0193279102651242,-0.823092231885197,0.0482582640563194,0.0075992019620715
0.001,1,"mixture",20261387,"Broad plus sharp source","Matern 2.5",0.0587706607200444,0.019878763522088,0.924449732302201,0.130276249903974,0.1100249107674,0.019452372728103,0.0533260747807138,0.0482582640563194,0.010512396663725
0.001,1,"ring",20261387,"Ring-shaped source","RBF",0.160886974086632,0.102671770929139,0.698393813206425,0.285663631440459,0.16728249553837,0.0886361703934701,2.24939919649131,0.158960844162438,0.001926129924194
0.001,1,"ring",20261387,"Ring-shaped source","Matern 0.5",0.158960844162438,0.0967520940991262,0.894705532421178,0.571085176524191,0.0636090868530636,0.0835754481393699,-0.359710649265457,0.158960844162438,0
0.001,1,"ring",20261387,"Ring-shaped source","Matern 1.5",0.158430877776724,0.0988323868432874,0.784057108863772,0.387961680383491,0.112761377156454,0.0841801698423868,0.218884272754301,0.158960844162438,-0.000529966385714009
0.001,1,"ring",20261387,"Ring-shaped source","Matern 2.5",0.159186322462197,0.100013602400641,0.747769185008923,0.34559522855537,0.135366969066032,0.0855111492059297,0.698652820840742,0.158960844162438,0.000225478299758997
0.001,1,"sine",20261387,"Sine-cosine source","RBF",0.0439395961151435,0.0314453041654819,0.273646638905413,0.0308642959882509,0.574480591909578,0.0282107227330282,18.8819226591369,0.0558662799309453,-0.0119266838158018
0.001,1,"sine",20261387,"Sine-cosine source","Matern 0.5",0.0558662799309453,0.0405649092612927,1,0.452377244028738,0.165332019631172,0.0360474999242382,-1.15943222692908,0.0558662799309453,0
0.001,1,"sine",20261387,"Sine-cosine source","Matern 1.5",0.0425264312527649,0.0326043463195474,0.80785246876859,0.111367054477925,0.14140504164188,0.0240480266157558,-1.12235378078075,0.0558662799309453,-0.0133398486781804
0.001,1,"sine",20261387,"Sine-cosine source","Matern 2.5",0.0420500497030838,0.0313229450380958,0.530636525877454,0.0614481849448014,0.398841091612136,0.0255949150286824,2.76674011234286,0.0558662799309453,-0.0138162302278615
0.001,1,"spike",20261387,"Hidden narrow spike","RBF",0.0439663758343615,0.0105624878029911,0.933967876264128,0.0905341933066876,0.135158759666865,0.0128324934062989,-0.583910342601611,0.0454104810961137,-0.0014441052617522
0.001,1,"spike",20261387,"Hidden narrow spike","Matern 0.5",0.0454104810961137,0.0101086644736353,0.969660916121356,0.157470583780822,0.155544690660321,0.0152998690999468,-1.64015859566519,0.0454104810961137,0
0.001,1,"spike",20261387,"Hidden narrow spike","Matern 1.5",0.0442529023247587,0.0104478438439826,0.957168352171327,0.120040618241033,0.141189396192742,0.0138579029382316,-1.43337533829306,0.0454104810961137,-0.001157578771355
0.001,1,"spike",20261387,"Hidden narrow spike","Matern 2.5",0.044086610077253,0.0104897640382258,0.94883997620464,0.10895638745423,0.136794690660321,0.0134620520062663,-1.24305684273412,0.0454104810961137,-0.0013238710188607
0.001,10,"dipole",21161387,"Positive-negative dipole","RBF",0.0347654824941839,0.0169045093937555,0.958953004164188,0.19130908705049,0.12222746876859,0.0187750856428358,-1.4434683582739,0.0404440094934992,-0.0056785269993153
0.001,10,"dipole",21161387,"Positive-negative dipole","Matern 0.5",0.0404440094934992,0.0164427487019867,0.990481856038073,0.476199178669873,0.177229699583581,0.0330913621714799,-1.13357610034628,0.0404440094934992,0
0.001,10,"dipole",21161387,"Positive-negative dipole","Matern 1.5",0.0328993612859845,0.0139234217819457,0.980963712076145,0.301951765749439,0.168260336109459,0.0227289296521245,-1.53880447309456,0.0404440094934992,-0.0075446482075147
0.001,10,"dipole",21161387,"Positive-negative dipole","Matern 2.5",0.032815992608905,0.0143940154886654,0.979773944080904,0.256877975754976,0.155544690660321,0.0206319527482431,-1.62712844168728,0.0404440094934992,-0.0076280168845942
0.001,10,"edge",21161387,"Moving-edge source","RBF",0.188405073961719,0.123155077239368,0.718619869125521,0.27082963995454,0.205206350386675,0.101903000038224,4.28424839131412,0.169173475391905,0.019231598569814
0.001,10,"edge",21161387,"Moving-edge source","Matern 0.5",0.169173475391905,0.0996312778575957,0.898274836406901,0.57878089666523,0.0930558447352766,0.084153983602146,-0.358346635190456,0.169173475391905,0
0.001,10,"edge",21161387,"Moving-edge source","Matern 1.5",0.178212721676464,0.109378458227204,0.806662700773349,0.342524202178602,0.0933681588340274,0.0897343743269618,0.861096772182309,0.169173475391905,0.00903924628455899
0.001,10,"edge",21161387,"Moving-edge source","Matern 2.5",0.181853546638554,0.113998439149928,0.784651992861392,0.303770387633813,0.13181253718025,0.0937422874650581,1.87995519544223,0.169173475391905,0.012680071246649
0.001,10,"mixture",21161387,"Broad plus sharp source","RBF",0.0634150373354448,0.0237881015820404,0.888756692444973,0.10258480312629,0.0810094437834622,0.0212269331973954,2.88249732735008,0.0488238724323015,0.0145911649031433
0.001,10,"mixture",21161387,"Broad plus sharp source","Matern 0.5",0.0488238724323015,0.0188017072475883,0.984533016061868,0.278082088353988,0.1632499256395,0.0233202708162257,-1.43860314301061,0.0488238724323015,0
0.001,10,"mixture",21161387,"Broad plus sharp source","Matern 1.5",0.0562823355060774,0.0199181548232999,0.938132064247472,0.150113630403139,0.116791716240333,0.019805454886269,-0.764338943283377,0.0488238724323015,0.0074584630737759
0.001,10,"mixture",21161387,"Broad plus sharp source","Matern 2.5",0.0591582301656701,0.0210542466093013,0.923854848304581,0.127138336486238,0.100209324806663,0.0200369642433922,0.156007014521699,0.0488238724323015,0.0103343577333686
0.001,10,"ring",21161387,"Ring-shaped source","RBF",0.160240568318247,0.102391699155303,0.694824509220702,0.278364551978474,0.166613251041047,0.0885222487804425,2.44198151381714,0.15805974942129,0.00218081889695701
0.001,10,"ring",21161387,"Ring-shaped source","Matern 0.5",0.15805974942129,0.0964935658962489,0.895300416418798,0.567770721973458,0.0630885633551457,0.0831519046305838,-0.366769092879151,0.15805974942129,0
0.001,10,"ring",21161387,"Ring-shaped source","Matern 1.5",0.157612264055219,0.0985087888142517,0.776323616894706,0.382055360123161,0.114248587150506,0.0838733546460319,0.238452598652805,0.15805974942129,-0.000447485366071004
0.001,10,"ring",21161387,"Ring-shaped source","Matern 2.5",0.158424950763683,0.0997077451631072,0.74360499702558,0.339082238025681,0.136036213563355,0.0852717261123098,0.751029360367171,0.15805974942129,0.000365201342392985
0.001,10,"sine",21161387,"Sine-cosine source","RBF",0.0428669444697572,0.0311334881343277,0.273051754907793,0.0315197420209525,0.586898795359905,0.0276454980526613,17.7420640565459,0.0557001420996789,-0.0128331976299217
0.001,10,"sine",21161387,"Sine-cosine source","Matern 0.5",0.0557001420996789,0.0406011762641369,1,0.45248979335816,0.167562834622249,0.0359707531011499,-1.160191777768,0.0557001420996789,0
0.001,10,"sine",21161387,"Sine-cosine source","Matern 1.5",0.0429270790803916,0.0331212816799661,0.809637120761452,0.112262527216386,0.152038593099346,0.024235063646888,-1.14483415971846,0.0557001420996789,-0.0127730630192873
0.001,10,"sine",21161387,"Sine-cosine source","Matern 2.5",0.0412673655517914,0.0315155051784883,0.547293277810827,0.0643395166126138,0.390438355145747,0.0252399083894669,1.45140805060894,0.0557001420996789,-0.0144327765478875
0.001,10,"spike",21161387,"Hidden narrow spike","RBF",0.0439840508534185,0.010648122075018,0.932778108268888,0.0894091074262231,0.134638236168947,0.012812455755251,-0.523353518398503,0.0454049504717432,-0.0014208996183247
0.001,10,"spike",21161387,"Hidden narrow spike","Matern 0.5",0.0454049504717432,0.0101299490788545,0.969660916121356,0.156768588275403,0.155395969660916,0.0152774484611872,-1.63846060917834,0.0454049504717432,0
0.001,10,"spike",21161387,"Hidden narrow spike","Matern 1.5",0.0442580783544935,0.0105092070167402,0.956573468173706,0.118961364385213,0.140520151695419,0.0138304090825817,-1.41854375581911,0.0454049504717432,-0.0011468721172497
0.001,10,"spike",21161387,"Hidden narrow spike","Matern 2.5",0.044095760362815,0.0105568731789699,0.94883997620464,0.107822692913918,0.136497248661511,0.0134358137312905,-1.21772320160784,0.0454049504717432,-0.0013091901089282
0.001,11,"dipole",21261387,"Positive-negative dipole","RBF",0.0346901114388465,0.0168072594048073,0.959547888161808,0.191881479882755,0.122004387269482,0.0187817114005484,-1.44981750620179,0.0403794568670778,-0.0056893454282313
0.001,11,"dipole",21261387,"Positive-negative dipole","Matern 0.5",0.0403794568670778,0.0163487385982949,0.991076740035693,0.476264638616415,0.177378420582986,0.0330850377711938,-1.13366587924974,0.0403794568670778,0
0.001,11,"dipole",21261387,"Positive-negative dipole","Matern 1.5",0.0328475399623544,0.013819808911097,0.980963712076145,0.301936187777854,0.167962894110648,0.0227223979836509,-1.53932254565506,0.0403794568670778,-0.0075319169047234
0.001,11,"dipole",21261387,"Positive-negative dipole","Matern 2.5",0.0327632566373133,0.0142809199715872,0.979773944080904,0.256923451643412,0.155395969660916,0.0206289790044466,-1.62779865112381,0.0403794568670778,-0.0076162002297645
