"source","hyper_method","kernel","label","nominal","empirical","mean_width","method","replication","eta","seed"
"spike","multistart_eb","rbf","RBF",0.5,0.878048780487805,0.0311558711840113,"RBF",1,0.001,20261387
"spike","multistart_eb","rbf","RBF",0.6,0.882807852468769,0.0388759691771499,"RBF",1,0.001,20261387
"spike","multistart_eb","rbf","RBF",0.7,0.894705532421178,0.0478746862565212,"RBF",1,0.001,20261387
"spike","multistart_eb","rbf","RBF",0.8,0.91017251635931,0.0591971271322776,"RBF",1,0.001,20261387
"spike","multistart_eb","rbf","RBF",0.9,0.923854848304581,0.0759786901179089,"RBF",1,0.001,20261387
"spike","multistart_eb","rbf","RBF",0.95,0.933967876264128,0.0905341933066876,"RBF",1,0.001,20261387
"spike","multistart_eb","rbf","RBF",0.975,0.940511600237954,0.103534345232748,"RBF",1,0.001,20261387
"spike","multistart_eb","rbf","RBF",0.99,0.94883997620464,0.118982098616089,"RBF",1,0.001,20261387
"spike","multistart_eb","matern05","Matern 0.5",0.5,0.919690660321237,0.0541909420557452,"Matern 0.5",1,0.001,20261387
"spike","multistart_eb","matern05","Matern 0.5",0.6,0.933967876264128,0.0676188889277796,"Matern 0.5",1,0.001,20261387
"spike","multistart_eb","matern05","Matern 0.5",0.7,0.941106484235574,0.0832708009845512,"Matern 0.5",1,0.001,20261387
"spike","multistart_eb","matern05","Matern 0.5",0.8,0.956573468173706,0.102964480349312,"Matern 0.5",1,0.001,20261387
"spike","multistart_eb","matern05","Matern 0.5",0.9,0.965496728138013,0.132153479815515,"Matern 0.5",1,0.001,20261387
"spike","multistart_eb","matern05","Matern 0.5",0.95,0.969660916121356,0.157470583780822,"Matern 0.5",1,0.001,20261387
"spike","multistart_eb","matern05","Matern 0.5",0.975,0.976799524092802,0.180082388649966,"Matern 0.5",1,0.001,20261387
"spike","multistart_eb","matern05","Matern 0.5",0.99,0.983938132064248,0.206951427347161,"Matern 0.5",1,0.001,20261387
"spike","multistart_eb","matern15","Matern 1.5",0.5,0.889946460440214,0.0413100277604222,"Matern 1.5",1,0.001,20261387
"spike","multistart_eb","matern15","Matern 1.5",0.6,0.903628792385485,0.0515462192161565,"Matern 1.5",1,0.001,20261387
"spike","multistart_eb","matern15","Matern 1.5",0.7,0.917906008328376,0.0634777505208494,"Matern 1.5",1,0.001,20261387
"spike","multistart_eb","matern15","Matern 1.5",0.8,0.930398572278406,0.0784903413783077,"Matern 1.5",1,0.001,20261387
"spike","multistart_eb","matern15","Matern 1.5",0.9,0.946460440214158,0.100741262519472,"Matern 1.5",1,0.001,20261387
"spike","multistart_eb","matern15","Matern 1.5",0.95,0.957168352171327,0.120040618241033,"Matern 1.5",1,0.001,20261387
"spike","multistart_eb","matern15","Matern 1.5",0.975,0.962522308149911,0.137277710851393,"Matern 1.5",1,0.001,20261387
"spike","multistart_eb","matern15","Matern 1.5",0.99,0.968471148126115,0.157760114226762,"Matern 1.5",1,0.001,20261387
"spike","multistart_eb","matern25","Matern 2.5",0.5,0.881618084473528,0.0374955698859522,"Matern 2.5",1,0.001,20261387
"spike","multistart_eb","matern25","Matern 2.5",0.6,0.89708506841166,0.0467865787015452,"Matern 2.5",1,0.001,20261387
"spike","multistart_eb","matern25","Matern 2.5",0.7,0.907198096371208,0.0576163842024303,"Matern 2.5",1,0.001,20261387
"spike","multistart_eb","matern25","Matern 2.5",0.8,0.925639500297442,0.071242752427831,"Matern 2.5",1,0.001,20261387
"spike","multistart_eb","matern25","Matern 2.5",0.9,0.937537180249851,0.0914390828082878,"Matern 2.5",1,0.001,20261387
"spike","multistart_eb","matern25","Matern 2.5",0.95,0.94883997620464,0.10895638745423,"Matern 2.5",1,0.001,20261387
"spike","multistart_eb","matern25","Matern 2.5",0.975,0.957763236168947,0.124601852868843,"Matern 2.5",1,0.001,20261387
"spike","multistart_eb","matern25","Matern 2.5",0.99,0.963117192147531,0.143192965700997,"Matern 2.5",1,0.001,20261387
"mixture","multistart_eb","rbf","RBF",0.5,0.709101725163593,0.0360182799926353,"RBF",1,0.001,20261387
"mixture","multistart_eb","rbf","RBF",0.6,0.75609756097561,0.0449432318723358,"RBF",1,0.001,20261387
"mixture","multistart_eb","rbf","RBF",0.7,0.786436644854253,0.0553463533072978,"RBF",1,0.001,20261387
"mixture","multistart_eb","rbf","RBF",0.8,0.826293872694824,0.068435855547644,"RBF",1,0.001,20261387
"mixture","multistart_eb","rbf","RBF",0.9,0.870315288518739,0.0878364696649826,"RBF",1,0.001,20261387
"mixture","multistart_eb","rbf","RBF",0.95,0.889946460440214,0.104663609121002,"RBF",1,0.001,20261387
"mixture","multistart_eb","rbf","RBF",0.975,0.906603212373587,0.119692658036185,"RBF",1,0.001,20261387
