"replication","eta","seed","source","source_label","method","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD"
1,0.001,20261387,"spike","Hidden narrow spike","RBF",0.0439663758343615,0.0105624878029911,0.933967876264128,0.0905341933066876,0.135158759666865,0.0128324934062989,-0.583910342601611
1,0.001,20261387,"spike","Hidden narrow spike","Matern 0.5",0.0454104810961137,0.0101086644736353,0.969660916121356,0.157470583780822,0.155544690660321,0.0152998690999468,-1.64015859566519
1,0.001,20261387,"spike","Hidden narrow spike","Matern 1.5",0.0442529023247587,0.0104478438439826,0.957168352171327,0.120040618241033,0.141189396192742,0.0138579029382316,-1.43337533829306
1,0.001,20261387,"spike","Hidden narrow spike","Matern 2.5",0.044086610077253,0.0104897640382258,0.94883997620464,0.10895638745423,0.136794690660321,0.0134620520062663,-1.24305684273412
1,0.001,20261387,"mixture","Broad plus sharp source","RBF",0.0630399187749572,0.0229758995212873,0.889946460440214,0.104663609121002,0.0886685752528257,0.0205450831555869,2.71289230050748
1,0.001,20261387,"mixture","Broad plus sharp source","Matern 0.5",0.0482582640563194,0.0178565991311151,0.985127900059488,0.283033461171356,0.165332019631172,0.0232473517521426,-1.43823290144434
1,0.001,20261387,"mixture","Broad plus sharp source","Matern 1.5",0.0558574660183909,0.0186057938780581,0.938726948245092,0.153792266422761,0.126384220701963,0.0193279102651242,-0.823092231885197
1,0.001,20261387,"mixture","Broad plus sharp source","Matern 2.5",0.0587706607200444,0.019878763522088,0.924449732302201,0.130276249903974,0.1100249107674,0.019452372728103,0.0533260747807138
1,0.001,20261387,"dipole","Positive-negative dipole","RBF",0.034671095599966,0.0165470989841401,0.960737656157049,0.193526303099311,0.122376189767995,0.0188216393833509,-1.46079716706955
1,0.001,20261387,"dipole","Positive-negative dipole","Matern 0.5",0.0404303160741465,0.0162992169716845,0.990481856038073,0.476210690309742,0.177080978584176,0.0330914404304153,-1.13361130716008
1,0.001,20261387,"dipole","Positive-negative dipole","Matern 1.5",0.0328717408486437,0.0136986132191847,0.980963712076145,0.30238434881624,0.167962894110648,0.0227479744649741,-1.53807503518714
1,0.001,20261387,"dipole","Positive-negative dipole","Matern 2.5",0.0327771659680521,0.0141307149975965,0.979773944080904,0.25765701287652,0.155470330160619,0.0206632777956599,-1.62627594975024
1,0.001,20261387,"ring","Ring-shaped source","RBF",0.160886974086632,0.102671770929139,0.698393813206425,0.285663631440459,0.16728249553837,0.0886361703934701,2.24939919649131
1,0.001,20261387,"ring","Ring-shaped source","Matern 0.5",0.158960844162438,0.0967520940991262,0.894705532421178,0.571085176524191,0.0636090868530636,0.0835754481393699,-0.359710649265457
1,0.001,20261387,"ring","Ring-shaped source","Matern 1.5",0.158430877776724,0.0988323868432874,0.784057108863772,0.387961680383491,0.112761377156454,0.0841801698423868,0.218884272754301
1,0.001,20261387,"ring","Ring-shaped source","Matern 2.5",0.159186322462197,0.100013602400641,0.747769185008923,0.34559522855537,0.135366969066032,0.0855111492059297,0.698652820840742
1,0.001,20261387,"edge","Moving-edge source","RBF",0.186350318524082,0.122389566943726,0.719809637120761,0.268038123297867,0.206544839381321,0.101144304077574,4.41343365905763
1,0.001,20261387,"edge","Moving-edge source","Matern 0.5",0.166565010313387,0.0972323686046807,0.899464604402142,0.576368925067103,0.0958071832242713,0.0827629340418399,-0.372385525701312
1,0.001,20261387,"edge","Moving-edge source","Matern 1.5",0.175510944217479,0.107650525313706,0.809637120761452,0.339288147376533,0.0902450178465199,0.0881907584691499,0.862193599850676
1,0.001,20261387,"edge","Moving-edge source","Matern 2.5",0.179252013856681,0.112547140311491,0.787626412849494,0.30046074000795,0.131738176680547,0.0923385526527314,1.91251301609776
1,0.001,20261387,"sine","Sine-cosine source","RBF",0.0439395961151435,0.0314453041654819,0.273646638905413,0.0308642959882509,0.574480591909578,0.0282107227330282,18.8819226591369
1,0.001,20261387,"sine","Sine-cosine source","Matern 0.5",0.0558662799309453,0.0405649092612927,1,0.452377244028738,0.165332019631172,0.0360474999242382,-1.15943222692908
1,0.001,20261387,"sine","Sine-cosine source","Matern 1.5",0.0425264312527649,0.0326043463195474,0.80785246876859,0.111367054477925,0.14140504164188,0.0240480266157558,-1.12235378078075
1,0.001,20261387,"sine","Sine-cosine source","Matern 2.5",0.0420500497030838,0.0313229450380958,0.530636525877454,0.0614481849448014,0.398841091612136,0.0255949150286824,2.76674011234286
1,0.001,20261387,"spike","Hidden narrow spike","Tikhonov discrepancy",0.0470719587072482,0.00972278110860785,NA,NA,NA,NA,NA
1,0.001,20261387,"mixture","Broad plus sharp source","Tikhonov discrepancy",0.0478658344313377,0.0186228985199391,NA,NA,NA,NA,NA
1,0.001,20261387,"dipole","Positive-negative dipole","Tikhonov discrepancy",0.0560327246666503,0.0253685504298094,NA,NA,NA,NA,NA
1,0.001,20261387,"ring","Ring-shaped source","Tikhonov discrepancy",0.172417548138231,0.100353635129207,NA,NA,NA,NA,NA
1,0.001,20261387,"edge","Moving-edge source","Tikhonov discrepancy",0.275784540059545,0.163476256592176,NA,NA,NA,NA,NA
1,0.001,20261387,"sine","Sine-cosine source","Tikhonov discrepancy",0.177458661897204,0.0879948621962861,NA,NA,NA,NA,NA
2,0.001,20361387,"spike","Hidden narrow spike","RBF",0.0440026867736046,0.0105697410939525,0.932183224271267,0.0887774552002066,0.134192073170732,0.0127868266187442,-0.48910155114049
2,0.001,20361387,"spike","Hidden narrow spike","Matern 0.5",0.0454110520015847,0.0101021967958955,0.969660916121356,0.156774536251048,0.155395969660916,0.0152727438452299,-1.63837288627293
2,0.001,20361387,"spike","Hidden narrow spike","Matern 1.5",0.0442639323375652,0.0104610476464482,0.957168352171327,0.118851378531016,0.140891954193932,0.0138176812259967,-1.41716130874955
2,0.001,20361387,"spike","Hidden narrow spike","Matern 2.5",0.0441052893046201,0.0105056273657074,0.94824509220702,0.107543533744197,0.136571609161214,0.0134171420694223,-1.2115718073608
2,0.001,20361387,"mixture","Broad plus sharp source","RBF",0.0633706151449707,0.0240554056904558,0.886377156454491,0.104412305524871,0.083240258774539,0.021122104776636,2.69478589511496
2,0.001,20361387,"mixture","Broad plus sharp source","Matern 0.5",0.0485081953958997,0.0190458583813115,0.984533016061868,0.281874600843483,0.163547367638311,0.0235111595777199,-1.43651687615226
2,0.001,20361387,"mixture","Broad plus sharp source","Matern 1.5",0.0561108031273342,0.0199903047914674,0.941106484235574,0.152635753891202,0.118427647233789,0.0198105955507676,-0.81050060008703
2,0.001,20361387,"mixture","Broad plus sharp source","Matern 2.5",0.059033449842285,0.0212403614640695,0.929208804283165,0.129421535417549,0.102588860797145,0.0200036428896098,0.066179079185989
2,0.001,20361387,"dipole","Positive-negative dipole","RBF",0.0345982978690678,0.016931405154196,0.96133254015467,0.194237044317543,0.123194155264723,0.0188515728994708,-1.47250656201213
2,0.001,20361387,"dipole","Positive-negative dipole","Matern 0.5",0.0402224308954427,0.0163543257583373,0.991076740035693,0.478964653193719,0.177452781082689,0.0331899371080386,-1.12926747858739
2,0.001,20361387,"dipole","Positive-negative dipole","Matern 1.5",0.0326826497394092,0.0139996024973026,0.980963712076145,0.304813810461708,0.168557778108269,0.0228250051780466,-1.534532243372
2,0.001,20361387,"dipole","Positive-negative dipole","Matern 2.5",0.0326160456123974,0.0144681043941417,0.979773944080904,0.259711833342603,0.157106261154075,0.0207237935369539,-1.62579192005826
2,0.001,20361387,"ring","Ring-shaped source","RBF",0.160204194879372,0.101631581018898,0.696609161213563,0.280928337677142,0.166390169541939,0.0882773240597475,2.35787183614873
2,0.001,20361387,"ring","Ring-shaped source","Matern 0.5",0.158305148861238,0.096410466717362,0.894705532421178,0.568047238984613,0.064055249851279,0.083235940244872,-0.364288623515069
2,0.001,20361387,"ring","Ring-shaped source","Matern 1.5",0.157752943824317,0.0979693243700607,0.78167757287329,0.383770619171235,0.11320754015467,0.0838359585360494,0.230823570857673
2,0.001,20361387,"ring","Ring-shaped source","Matern 2.5",0.158511355958712,0.099074834805819,0.747769185008923,0.341159137616188,0.135738771564545,0.0851695827891923,0.72941870098649
2,0.001,20361387,"edge","Moving-edge source","RBF",0.189346088345365,0.124665524688009,0.719809637120761,0.271852713146218,0.207139723378941,0.102907623759983,4.42459963951467
2,0.001,20361387,"edge","Moving-edge source","Matern 0.5",0.16897461172524,0.0989118391190305,0.896490184414039,0.579668966043994,0.0958815437239738,0.0841133740246917,-0.354710176405392
2,0.001,20361387,"edge","Moving-edge source","Matern 1.5",0.17857180254499,0.109952438513429,0.809637120761452,0.343147409076357,0.0938143218322427,0.0900657765243104,0.897721494510562
2,0.001,20361387,"edge","Moving-edge source","Matern 2.5",0.182437078682815,0.114939818228515,0.786436644854253,0.304427636879811,0.130399687685901,0.0943008835320742,1.94822953845822
2,0.001,20361387,"sine","Sine-cosine source","RBF",0.0433254882252106,0.0316198893297661,0.248066627007733,0.0286384204935855,0.599391359309935,0.0285273710470213,23.2049762819915
2,0.001,20361387,"sine","Sine-cosine source","Matern 0.5",0.0562454853751932,0.0412116811545699,1,0.450497556569868,0.165034577632362,0.036075193765143,-1.16222202789857
2,0.001,20361387,"sine","Sine-cosine source","Matern 1.5",0.0432812820200922,0.0337694255520302,0.797739440809042,0.107646261039886,0.170703078524688,0.024749050807676,-1.03226369550802
