"eta","method","repetitions","RMSE_mean","RMSE_sd","RMSE_mcse","RMSE_lower","RMSE_upper","MAE_mean","MAE_sd","MAE_mcse","MAE_lower","MAE_upper","Coverage95_mean","Coverage95_sd","Coverage95_mcse","Coverage95_lower","Coverage95_upper","CalibrationMAE_mean","CalibrationMAE_sd","CalibrationMAE_mcse","CalibrationMAE_lower","CalibrationMAE_upper","CRPS_mean","CRPS_sd","CRPS_mcse","CRPS_lower","CRPS_upper","NLPD_mean","NLPD_sd","NLPD_mcse","NLPD_lower","NLPD_upper"
0.001,"Matern 1.5",20,0.0854978432638494,0.000279660690838931,6.25340315350403e-05,0.0853669580316275,0.0856287284960714,0.047669410816995,0.000316050953559464,7.06711416512591e-05,0.0475214944175665,0.0478173272164236,0.87780586952211,0.0011667035867376,0.000260882852953811,0.877259835435495,0.878351903608725,0.132696807455879,0.00256586764876639,0.000573745448390921,0.13149594443129,0.133897670480469,0.0424712630213222,0.000203247104383658,4.54474341631855e-05,0.0423761404484075,0.0425663855942369,-0.616965860426062,0.0161192316785868,0.00360436977783881,-0.624509893072061,-0.609421827780063
0.001,"Matern 0.5",20,0.0863862753762957,0.000235042991320634,5.25572106227831e-05,0.0862762718702296,0.0864962788823618,0.0470956807860425,0.000285710566730973,6.38868249100444e-05,0.046961964124746,0.047229397447339,0.956028157842554,0.000553900277063147,0.000123855867226916,0.955768924533169,0.95628739115194,0.13626337249653,0.000664865715882283,0.000148668493662185,0.135952205763162,0.136574539229897,0.045891357473424,0.000124295838170106,2.77933943468669e-05,0.0458331852305024,0.0459495297163457,-1.01469445077607,0.00167362156807606,0.000374233159482787,-1.01547772978082,-1.01391117177132
0.001,"Matern 2.5",20,0.086581956048328,0.00034222806621213,7.65245219858621e-05,0.0864217883830595,0.0867421237135965,0.0487048405461247,0.000317273803090072,7.09445791189283e-05,0.0485563518354989,0.0488533292567505,0.813166765813999,0.00697432769045025,0.00155950708132059,0.809902679979775,0.816430851648224,0.181318039857228,0.00586552158198291,0.00131157049808059,0.178572891255693,0.184063188458763,0.043279999271671,0.00024989156001809,5.58774515203917e-05,0.0431630464215398,0.0433969521218022,0.60951959358102,0.294421436371792,0.0658346345760457,0.471726119800176,0.747313067361865
0.001,"RBF",20,0.0892133033949347,0.000809522272712315,0.000181014683108486,0.0888344353089875,0.0895921714808818,0.0514809166752766,0.000849945215250762,0.000190053527845139,0.0510831300698716,0.0518787032806816,0.745459052151497,0.00788560740195383,0.00176327541946443,0.741768474284011,0.749149630018983,0.217336654768987,0.00576837175014753,0.00128984713528193,0.214636973688332,0.220036335849641,0.0453560314461967,0.000606608322245764,0.000135641744425863,0.0450721300123314,0.0456399328800619,5.10735200213755,1.48953377677545,0.333069877965189,4.41022873575757,5.80447526851754
0.001,"Tikhonov discrepancy",20,0.129589405329149,0.000109780883097072,2.45477517235011e-05,0.12953802629431,0.129640784363988,0.0677251880572419,0.000132968705095704,2.97327063474116e-05,0.0676629567876541,0.0677874193268297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,"Matern 1.5",20,0.0959766762042926,0.00214937979309334,0.000480615932682114,0.094970735496257,0.0969826169123281,0.0601987976327555,0.00221088083941195,0.000494367984707691,0.059164073549033,0.0612335217164781,0.901824310926036,0.00860131723064532,0.00192331300237632,0.897798770547906,0.905849851304166,0.109166573716042,0.00836741655044736,0.00187101122028571,0.105250502225916,0.113082645206168,0.0494108724277001,0.00142938247952201,0.000319619639005842,0.0487419008349996,0.0500798440204007,-0.712277632698187,0.05603789367911,0.0125304539582396,-0.738504174245439,-0.686051091150936
0.01,"Matern 2.5",20,0.0961336889333493,0.00206258493685859,0.000461208012818291,0.0951683694684348,0.0970990083982639,0.060234633162043,0.00206846128062119,0.000462522003229526,0.0592665634835905,0.0612027028404956,0.876462423160817,0.0113369834964676,0.00253502657578949,0.871156551559125,0.881768294762509,0.12040797268491,0.0111234928847061,0.0024872886237438,0.115202017765158,0.125613927604662,0.049416635089754,0.00145226285421108,0.000324735846321384,0.0487369551520747,0.0500963150274333,-0.416896339064307,0.0943347632703348,0.0210938943313819,-0.461046367301036,-0.372746310827578
0.01,"RBF",20,0.0980374508638565,0.0020910311751008,0.000467568785059666,0.0970588181496362,0.0990160835780768,0.0618366938240588,0.00193643576076549,0.000433000199513316,0.0609304139909138,0.0627429736572038,0.822204045211184,0.0166462149729697,0.0037222068247635,0.814413376791471,0.829994713630897,0.150694774935554,0.0139989578500927,0.00313026213669615,0.144143060986846,0.157246488884263,0.0509219729015919,0.00154219719679064,0.000344845776673349,0.0502002023959534,0.0516437434072303,0.615618803860981,0.239071730717016,0.0534580641381773,0.503729789717674,0.727507818004289
0.01,"Matern 0.5",20,0.0982166329058133,0.00197647568272516,0.000441953398244875,0.0972916138123593,0.0991416519992673,0.0618054001216208,0.00209188288840784,0.000467759233944854,0.0608263687933027,0.062784431449939,0.958353162799921,0.0030958703007115,0.000692257644191362,0.95690425089878,0.959802074701061,0.125701901150109,0.00470733592256521,0.00105259231157825,0.123498800122491,0.127905002177728,0.0533742302353148,0.000994914114330083,0.000222469559141606,0.0529085960966578,0.0538398643739718,-0.897911572939529,0.0143907458381029,0.00321786859409203,-0.904646649310888,-0.891176496568169
0.01,"Tikhonov discrepancy",20,0.143052944938671,0.00113977765038963,0.00025486203055062,0.142519512578174,0.143586377299169,0.0823825413628446,0.00116338543478028,0.000260140891620186,0.0818380602191483,0.0829270225065409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
